max_trials, mode, repeat_wrong, win_delays, lose_delays, L_win_L_delay, L_lose_L_delay, R_win_L_delay, R_lose_L_delay, R_win_R_delay, R_lose_R_delay, L_win_R_delay, L_lose_R_delay, odor1_id, odor1_delay, odor1_duration, odor2_id, odor2_delay, odor2_duration, tone_delay, tone_duration, tone_period, L_reward_id, L_reward_delay, L_reward_duration, L_reward_num, L_bolus_delay, R_reward_id, R_reward_delay, R_reward_duration, R_reward_num, R_bolus_delay, trial_delay, error_duration, odor_port_error, well_error, choice_error, odor_port_timeout, well_timeout, debounce_up, debounce_down_odor_port, debounce_down_well, rewarded_well, odor_port_timeout_stim, odor_port_on_stim, odor_port_off_stim, odor1_on_stim, odor1_off_stim, odor2_on_stim, odor2_off_stim, tone_on_stim, tone_off_stim, L_well_on_stim, L_well_off_stim, R_well_on_stim, R_well_off_stim, L_reward_on_stim, L_reward_off_stim, R_reward_on_stim, R_reward_off_stim, reward_on_stim, reward_off_stim, well_timeout_stim, odor_port_early_go_stim, well_early_go_stim, wrong_choice_stim, odor_port_timeout_stim_delay, odor_port_on_stim_delay, odor_port_off_stim_delay, odor1_on_stim_delay, odor1_off_stim_delay, odor2_on_stim_delay, odor2_off_stim_delay, tone_on_stim_delay, tone_off_stim_delay, L_well_on_stim_delay, L_well_off_stim_delay, R_well_on_stim_delay, R_well_off_stim_delay, L_reward_on_stim_delay, L_reward_off_stim_delay, R_reward_on_stim_delay, R_reward_off_stim_delay, reward_on_stim_delay, reward_off_stim_delay, well_timeout_stim_delay, odor_port_early_go_stim_delay, well_early_go_stim_delay, wrong_choice_stim_delay, L_lick_ts, R_lick_ts, L_well_all_on_ts, R_well_all_on_ts, R_well_all_off_ts, L_well_all_off_ts, odor_port_all_on_ts, odor_port_all_off_ts, trial_start_ts, R_light_on_ts, L_light_on_ts, odor_port_on_ts, tone_on_ts, tone_off_ts, odor_port_off_ts, error_id, error_string, error_flg, odor_port_timeout_flg, odor_port_early_go_flg, wrong_choice_flg, well_early_go_flg, house_light_on_ts, R_light_off_ts, L_light_off_ts, choices, performance, L_clicks, R_clicks, well_id, well_on_ts, L_reward_ts, well_off_ts, R_reward_ts
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1    19920    22849   173386  1455212  1455577  1460254  3303833  3307787  3999937  4005040  4239986  4240100  4240278  4240419  4240583  4240987  4241098  4241216  4243047  4243346  4246098  4247711  4249027  4254601  4258404  4258894  4259402  5731816  5732133  5732243  5732373  5732485  5738794  5738917  5739028  5739143  5739261  5807899  5812076  5812182  5812390  5812550  5812722  5813498  5813649  5813957  5817533  5817641  5820943  5821073  5822313  5822427  5826878  5826994  5832334  5832449  5836918  5840011  5840124  5840490  5841926  5845352  5848900  5849054  5858734  5858848  5860794  5866954  5867090  5868255  5868435  5868545  5868661  5869813  5869921  5870063  5870366  5870525  5877129  5884296  5884402  5884508  5884788  5887252  5887365  5893862  5893978  5895483  5900853  5901159  5901285  5901391  5901498  5901611  5901726  5901844  5901959  5902074  5902181  5902330  5902471  5902590  5902705  5902812  5902928  5903203  5903308  5903415  5903534  5903639  5903756  5903996  5906537  5906650  5908898  5910812  5914052  5915059  5920839, 1    21018  1457835  3306241  4008009  4013756  4242190  4242822  4305349  4305449  4305591  4308463  4308580  5733212  5733326  5733761  5734001  5735980  5829966  5830112, 12  1445158  1449275  1454840  1458564  1464747  1466967  3271742  3294607  3296046  3303356  3307320  3995702  4248901  5901275  5901751  5902533  5902577, 20465  1457390  3300421  3305371  4003358  4010075  4010389  4260492  4288033  4309220  5829400  5829796  5830034, 21017  1457827  3300645  3306233  4007991  4010345  4013732  4267597  4293998  5829533  5829810  5830052, 1445080  1448308  1449370  1455549  1464586  1466754  1467080  3292650  3294741  3296122  3303810  3307773  3999912  4254575  5901600  5902446  5902559  5903672, 1456303  3304814  5904925, 1456713  3305162  5906006, 5759064, 5759067, 5759069, 5904926, 5904928, 5905078  5905079, 5906007, 204, no_go, 1, 1, 0, 0, 0, 5921028, 5921034, 5921038, L0:R0, 0.00, 000(1)1, 000(1)1, , , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5922971  5924207  5926490  5926689  5927667  5927782  5928089  5935667  5938546  5939018  5939138  5939286  5945775  5950705  5950833  5950971  5951426  5972475  5972587  5972693  5977428  5977585  5977777  5977897  5983906  5989875  5990026  5990133  5990915  6004316  6028639  6029161  6032649  6045251  6045862  6046202  6046334  6046440  6046557  6046662  6046767  6046889  6047026  6047149  6047258  6047368  6047483  6047596  6047709  6047828  6047945  6048172  6048297  6048405  6048522  6048628  6048812  6048924  6049049  6049177  6049292  6049412  6049538  6049673  6049832  6049937  6050112  6050268  6050399  6050532  6050671  6050811  6050925  6051065  6051173  6051290  6051431  6051537  6051681  6051834  6051942  6052054  6052186  6052294  6052406  6052511  6052645  6052752  6052870  6052976  6053343  6053460  6053686  6053797  6053960  6054118  6054732  6054842  6054965  6055070  6055191  6055296  6055445  6055573  6055721  6055839  6055949  6056108  6056252  6056405  6056564  6056698  6056834  6057166  6057271  6057451  6057591  6057770  6057921  6069947  6070059  6070167  6070284  6070415  6070546  6070672  6070817  6070955  6071087  6071223  6071335  6071467  6071575  6071732  6071866  6071973  6072093  6072244  6072356, 5930715  5931316  5931622  5931759  6008840  6009979  6010080  6010619  6010801  6011840  6012184  6012619  6012781  6014655  6015026  6015229  6015687  6015832  6016055  6016487  6016596  6016769  6016896  6017020  6017161  6017275  6017404  6018084  6018226  6018692  6019029  6019345  6019523  6019654  6019919  6020062  6020297  6020461  6041327  6042945  6043315, 6042118, 5930138  5930179  5932827  5980582  6008409  6008610  6008710  6009741  6009865  6009952  6010267  6010574  6011058  6011310  6011462  6011674  6012238  6014144  6040875  6041038  6041608  6042000  6042361  6042833, 5930166  5932114  5933227  5980695  6008558  6008679  6008780  6009781  6009936  6010194  6010455  6010719  6011075  6011379  6011485  6012094  6012550  6020418  6040988  6041381  6041689  6042290  6042420  6042860, 6072589, 6059776, 6061395, 5922031, 5922031, 5922032, 6059777, 6059780, 6059931  6059933, 6061397, , , 0, 0, 0, 0, 0, , 6072627, 6072633, L1:R0, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, L, 6061402, 6061404, 6072594, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6073306  6095676  6095973  6096135  6096250, 6074419  6076695  6076829  6076973  6077105  6077240  6077411  6077522  6077632, 6073856  6075766  6077281  6077678  6081597  6095515  6096433, 6074006  6074142  6076285, 6074096  6074638  6077582, 6074682  6075809  6077628  6078544  6087815  6096300  6096457, 6098056  6098526, 6098237  6098700, 6073348, 6073349, 6073350, 6098062, 6098068, 6098219  6098225, 6098243, 204, no_go, 1, 1, 0, 0, 0, 6113296, 6113308, 6113316, L1:R0, 100.00, 000(1)1, 000(1)1, , , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6117800  6117917  6118032  6118148  6151837  6151954  6152062  6152176  6152290  6152416  6152597  6153414  6153582  6210568  6241679  6241854  6241961  6242082  6242212  6242318  6254228  6254334  6254647, 6213094  6213250, 6117531, 6212749  6212904  6244593, 6212814  6213368  6244995, 6118136, 6260053  6260373  6260531, 6260232  6260419  6260568, 6113660, 6113661, 6113662, 6260058, 6260064, 6260215  6260220, 6260238, 204, no_go, 1, 1, 0, 0, 0, 6275289, 6275299, 6275307, L1:R0, 100.00, 000(1)1, 000(1)1, , , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6385895  6386139  6391384  6391499  6391623  6391748  6391859  6391971  6392086  6392197  6392348  6392464  6392569  6392681  6392789  6392902  6393009  6393134  6393263  6393402  6393518  6393649  6393778  6393923  6394078  6394236  6394424  6394566  6394711  6394818  6394925  6395095  6395236  6395348  6395483  6395590  6395754  6395924  6396082  6396202  6396356  6396542  6396691  6396845  6396958  6397071  6397179  6397288  6397410  6397519  6397624  6397729  6397851  6398007  6398185  6398344  6398454  6398568  6398689  6398820  6398981  6399115  6399230  6399363  6399489  6399605  6399769  6399903  6400012  6400123  6400253  6400381  6400494  6400781  6400927  6401105  6401241  6401351  6401516  6401626  6405885  6406026  6406152  6406262  6409183  6463011  6463132  6463255  6463403  6463531  6463654  6463788  6463905  6464025  6464176  6464353  6464482  6464597  6464926, 6412252  6412629  6412755  6412894  6413026  6413154  6413286  6413445  6413593  6413753  6413855  6414086  6414260  6414375  6414530  6414704  6414881  6415760  6416163  6416290  6416480  6416772  6422463  6422683  6423061  6423361  6423537  6423716  6423861  6424073, , 6411669  6422056  6450183  6453784  6473671, 6417032  6424045  6450504  6454120  6473958, , 6275783  6466130, 6275928  6466307, 6275929, 6275930, 6275931, 6466134, 6466140, 6466291  6466296, 6466312, , , 0, 0, 0, 0, 0, , 6474002, 6474009, L1:R1, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, R, 6473682, , 6473964, 6473687
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6619490  6619610  6619727  6619850, 6510940  6511400  6511516  6511630  6511755  6511892  6512017  6512146  6512290  6512405  6512571  6512732  6512881  6513009  6513276  6513381  6513545  6513813  6514453  6514874  6515054  6515214  6515335  6516137  6516281  6633807  6633923  6634074  6634210  6634353  6733687  6837431, 6507169  6619197  6619288  6647975  6664397  6699108  6701751  6706253  6793682  6838727  6841146  6841725  6894851, 6474136  6510574  6515541  6596142  6633227  6633495  6636642  6636771  6637622  6733069, 6474212  6515511  6516682  6596275  6633255  6634612  6636754  6636893  6637740  6733676, 6519429  6619273  6619764  6664379  6665372  6700890  6703432  6715675  6829945  6840318  6841228  6842541  6894886, 6904329, 6904540, 6474675, 6474676, 6474677, 6904341, 6904356, 6904507  6904521, 6904553, 204, no_go, 1, 1, 0, 0, 0, 6919560, 6919564, 6919566, L1:R1, 100.00, 000(1)1, 000(1)1, , , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6994964  6995071  6995177  6995302  6995417  6995549  6995661  6995788  6995913  6996027  6996216  6996330  6996481, 7009503  7009621  7009751, 6994901, 7009195  7010931, 7010770  7011037, 6996543, 7018031, 7018204, 6920089, 6920091, 6920092, 7018034, 7018039, 7018190  7018194, 7018208, 204, no_go, 1, 1, 0, 0, 0, 7033245, 7033253, 7033259, L1:R1, 100.00, 000(1)1, 000(1)1, , , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
