max_trials, mode, repeat_wrong, win_delays, lose_delays, L_win_L_delay, L_lose_L_delay, R_win_L_delay, R_lose_L_delay, R_win_R_delay, R_lose_R_delay, L_win_R_delay, L_lose_R_delay, odor1_id, odor1_delay, odor1_duration, odor2_id, odor2_delay, odor2_duration, tone_delay, tone_duration, tone_period, L_reward_id, L_reward_delay, L_reward_duration, L_reward_num, L_bolus_delay, R_reward_id, R_reward_delay, R_reward_duration, R_reward_num, R_bolus_delay, trial_delay, error_duration, odor_port_error, well_error, choice_error, odor_port_timeout, well_timeout, debounce_up, debounce_down_odor_port, debounce_down_well, rewarded_well, odor_port_timeout_stim, odor_port_on_stim, odor_port_off_stim, odor1_on_stim, odor1_off_stim, odor2_on_stim, odor2_off_stim, tone_on_stim, tone_off_stim, L_well_on_stim, L_well_off_stim, R_well_on_stim, R_well_off_stim, L_reward_on_stim, L_reward_off_stim, R_reward_on_stim, R_reward_off_stim, reward_on_stim, reward_off_stim, well_timeout_stim, odor_port_early_go_stim, well_early_go_stim, wrong_choice_stim, odor_port_timeout_stim_delay, odor_port_on_stim_delay, odor_port_off_stim_delay, odor1_on_stim_delay, odor1_off_stim_delay, odor2_on_stim_delay, odor2_off_stim_delay, tone_on_stim_delay, tone_off_stim_delay, L_well_on_stim_delay, L_well_off_stim_delay, R_well_on_stim_delay, R_well_off_stim_delay, L_reward_on_stim_delay, L_reward_off_stim_delay, R_reward_on_stim_delay, R_reward_off_stim_delay, reward_on_stim_delay, reward_off_stim_delay, well_timeout_stim_delay, odor_port_early_go_stim_delay, well_early_go_stim_delay, wrong_choice_stim_delay, L_lick_ts, R_lick_ts, R_well_all_on_ts, R_well_all_off_ts, L_well_all_on_ts, L_well_all_off_ts, trial_start_ts, R_light_on_ts, L_light_on_ts, odor_port_all_on_ts, odor_port_on_ts, tone_on_ts, tone_off_ts, odor_port_all_off_ts, odor_port_off_ts, well_id, well_on_ts, L_reward_ts, well_off_ts, error_flg, odor_port_timeout_flg, odor_port_early_go_flg, well_early_go_flg, wrong_choice_flg, R_light_off_ts, L_light_off_ts, choices, performance, L_clicks, R_clicks, R_reward_ts, error_id, error_string, house_light_on_ts
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1   101201   102562   105646   115737   116403   117806   246355   253583   623659   623775   652376   658723  1999965  2001339  2214222  2214325  2214458  2214582  2214702  2214816  2214932  2215057  2215178  2215302  2215445  2215585  2217820  2217940  2229161  2229277  2229529  2250086  2250200  2250351  2250503  2250790  2251211  2251362  2251643  2252804  2252919  2253020  2253121  2261841, 1    72285   260898   626714   626822   627059   627176   627302   627421   627561   627709   635224   635330   635433   635536   652260   661920   668014  2001278  2232679  2232848  2232962  2233078  2233211  2233336  2233465  2233594  2233725  2233857  2234034  2237312  2237671  2237788  2237993  2238109  2238248  2238981  2239114  2240544  2258820  2258932  2259057  2259178  2259308  2259447  2259607, 71390   255926   661732  2232301  2232328  2238692  2240385  2258582, 72252   260882   667986  2232316  2238205  2239110  2240610  2259595, 74912    76447   100357   101757   104183   108381   110249   111026   113310   113421   115614   117073   240614   248854   652099  2109483  2109614  2214008  2228790  2228943  2247661  2247855  2249876  2252406  2261462  2266386, 75778    77925   101185   102541   105619   110224   110828   111211   113396   113496   116450   117783   246337   253589   658703  2109556  2109679  2217928  2228847  2229360  2247773  2248383  2251581  2253047  2261946  2266416, 2218036, 2218048, 2218061, 2263448, 2263456, 2263467, 2263618  2263627, 2264151, 2264160, L, 2266405, 2266426, 2266586, 0, 0, 0, 0, 0, 2266650, 2266661, L1:R0, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2273800  2273973  2274072  2274265  2274446  2274576  2274697  2274797  2274914  2275045  2278910  2279074  2279201  2279328  2279461  2279602  2279726  2279874  2280011  2280295  2280450  2314164  2314315  2314454  2314571  2314691, 2270433  2270766  2270885  2337113  2337230  2337344  2337451  2337559  2337686  2337812  2337937  2338332  2338468  2338606  2338712  2338954  2339073  2339186  2339289  2339477  2339973  2340096  2340225  2340371  2340513  2340640  2341355  2341516  2341647  2342491  2342635  2342766  2342898  2344506  2345561  2345705  2346222  2346344  2346455  2347154  2362145  2362248  2362381  2362487  2362608  2362723  2362836  2362955  2363077  2363200  2363330  2363451  2366238  2366361  2366505  2366639  2366774  2367235  2367336  2367471  2367593  2367735  2367875  2369108  2369225  2369385  2369547  2369650  2369825  2370640  2370857  2370971  2371084  2371205  2371598  2371704  2373241  2373353  2374562  2374687  2374835  2375290  2375392, 2270072  2270226  2271414  2283648  2336754  2361720, 2270170  2270845  2271607  2283806  2347166  2375486, 2273272  2273440  2280080  2313857  2321196  2321262  2371953, 2273341  2279972  2280462  2314799  2321209  2321275  2371970, 2271645, 2271647, 2271650, 2267801  2355384, 2355396, 2355410, 2355561  2355574, 2268066  2356948, 2356962, R, 2361890, , 2375492, 0, 0, 0, 0, 0, 2375533, 2375540, L1:R1, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 2361891, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 2375639  2376755  2376881  2377006  2377659  2377764  2377870  2378007  2378461, 2376455, 2378398, 2384527, , 2376221, 2376222, 2376222, 2381340, 2381342, 2381346, 2381496  2381499, 2382891, 2382894, L, 2384533, , , 1, 0, 0, 0, 1, 2384573, 2384578, L2:R1, 66.67, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, , 203, wrong_choice_chose_L, 2384566
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2384772  2384879  2385008  2385661  2385794  2385898  2386037  2386190  2386359  2386677  2387043  2387168  2387292  2387444  2387598  2387750  2387917  2388221  2389342  2389537  2400922  2401059  2401234  2422017  2422167, 2405599  2405745  2405885  2406008  2406451  2406557  2406737  2407372  2407535  2407649  2407767  2407879  2408083  2408206  2408350  2410324  2410490  2410617  2411393  2411530  2411679  2411831  2412567  2412688  2413634  2413943  2416718, 2405291  2406282  2416168  2441910, 2405980  2414047  2416691, 2385473  2389200  2400589  2421769  2432572  2435243  2435346  2435603  2435763  2435880  2435943, 2384957  2388204  2389480  2401370  2422158  2432587  2435270  2435362  2435746  2435851  2435901  2435960, 2384957, 2384959, 2384960, 2439591  2440091, 2439603, 2439616, 2439767  2439779, 2439809  2440110, 2439821, R, 2441936, , , 1, 0, 0, 0, 1, 2442141, 2442143, L2:R2, 50.00, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, , 202, wrong_choice_chose_R, 2442137
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2458474  2458587  2458763  2459267  2497508  2497660  2497792  2497908  2498021  2498157  2499634  2499750  2499855  2504365  2504497  2504623  2504941  2505126  2505265  2505419  2505708  2505872  2505979  2506112  2506258  2506580  2506820  2507063  2507331  2507483  2507757  2517470  2518910  2549068  2549190  2549382  2549726  2549835  2560252  2560352  2560506  2560669  2561897  2562031  2562176  2562319  2563059  2563200  2563375  2563898  2564054  2564390  2564520  2564624  2564762  2565707  2565830  2567701  2567855  2567967  2568643  2568747  2568850  2569864  2584347  2584453  2584553  2584655  2584872  2584988  2585111  2585239  2585357  2585488  2585617  2585745  2585867  2590226  2590355  2590480  2590621  2590733  2591342  2591444  2591547  2591666  2591782  2593359  2593465  2593644  2593825  2593973  2594911  2595055  2603361  2603474  2604971  2605161  2613750  2613876  2613981  2614094  2614199  2614668  2640553  2640657  2640809  2640934  2641041  2641273  2641414  2641550  2641667  2641779  2641918  2642307  2642419  2645029  2645131  2645846  2645948  2661896  2662010  2662116  2703160  2703267  2703369  2703479  2703620  2703787  2703890  2705434  2705568  2706447  2706578  2706681  2707561  2707778  2715165  2741636  2741745  2741923  2742078  2752350  2752450  2752621  2752989  2753677  2816087  2816256  2816743  2817311  2838380  2838482  2841550  2841827  2841979  2842344  2842496  2843307  2843415  2843608  2844289  2853484  2872038  2872210  2892868  2892996  2893097  2893481  2893646  2894287  2957893  2958012  2958661  2983174  2983481  2983716  2983821  3005252  3005667  3005779  3007289  3007452  3007628  3007820  3008208  3008334  3088513  3088637  3091353  3091513  3095306  3095407  3096002, 2442426  2442555  2443496  2443915  2444626  2444766  2444913  2445073  2447951  2448071  2448806  2448911  2449016  2449695  2449977  2450083  2450275  2450402  2450503  2451804  2451914  2452249  2464760  2464873  2465433  2479696  2538456  2538743  2538979  2539114  2539299  2541119  2541228  2541346  2541485  2542287  2542400  2542541  2543043  2553209  2553436  2553603  2553845  2553951  2554075  2554487  2554857  2555006  2555195  2555573  2555725  2578799  2578933  2579046  2579227  2579561  2579728  2579918  2598732  2598932  2608863  2609000  2609271  2664905  2665044  2665260  2665401  2666171  2666444  2666610  2667666  2667787  2669667  2669798  2669949  2670563  2670670  2683378  2683509  2725318  2725489  2725597  2725712  2746807  2777466  2777601  2777758  2778022  2778161  2778304  2778601  2778712  2778853  2780675  2780798  2780954  2781553  2803945  2804083  2805874  2806221  2811297  2865417  2865545  2865868  2905710  2923439  2991519  2995247  2995420  2995530  2995642  2997036  2997170  2997322  2998069  2998445  2998971  2999079  2999462  2999730  3019163  3019276  3019379  3020704  3021622  3021813  3074162  3074301  3074483  3074604  3074843  3074961  3076434  3076962  3077099  3077240  3077880  3106555  3106719  3111498  3118460  3118602  3118753  3119033  3119135  3119751, 2443246  2443683  2464566  2480245  2538041  2552888  2555731  2578504  2580838  2598445  2608595  2664571  2673854  2674357  2674463  2674535  2682966  2722857  2725007  2746509  2746992  2776479  2777194  2803690  2805442  2811008  2864960  2865944  2905377  2923185  2932344  2932534  2991260  2994848  3018967  3019459  3020472  3021229  3022524  3073935  3079092  3106211  3111257  3118194, 2442774  2443475  2452242  2465406  2480409  2542999  2555709  2555772  2579883  2581046  2599036  2609475  2670626  2673913  2674373  2674494  2674552  2683487  2723253  2725773  2746926  2747021  2776950  2781570  2804280  2806252  2811315  2865927  2866055  2906107  2923543  2932374  2932675  2992043  2999717  3019399  3019783  3020806  3021936  3022730  3077960  3079268  3106987  3111595  3119926, 2445611  2445713  2447744  2447783  2447879  2448206  2448238  2448331  2448502  2453030  2453258  2453313  2453472  2454348  2493029  2495002, 2445696  2445727  2447774  2447858  2447906  2448216  2448277  2448489  2448561  2453114  2453286  2453368  2454292  2492990  2494985  3120736, 2442775, 2442776, 2442777, 2572385  2573617  2574272  2611851  2638497  2718787  2719208  2736486  2749834  2798595  2874880  2888646  3002572  3003058  3013806  3028275  3029299  3029555  3029897  3030568  3030925  3070911  3083022  3084911  3101709, 2572393, 2572403, 2572554  2572563, 2573412  2574185  2575392  2612282  2638551  2719161  2719832  2738498  2750145  2798678  2877290  2890924  3002961  3003281  3014785  3028346  3029462  3029792  3030047  3030756  3031448  3071471  3084874  3084984  3104476, 2573421, L, 2573441, 2573451, 3120741, 0, 0, 0, 0, 0, 3120772, 3120778, L3:R2, 60.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3185708  3185885  3186841  3186966  3188406  3188573  3188775  3189596  3189820  3190311  3190538  3190682  3192188  3192429  3192542  3192968  3226376  3227167  3227895  3228334  3228590  3230498  3234293  3234395  3235365  3235606  3235942  3236575  3237895  3238080  3239075  3240358  3240475  3240615  3248927  3249113  3249400  3249544  3249650  3249754  3251621  3251798  3251910  3252501  3252609  3254310  3266075  3266548  3266650  3268177  3295170  3295286  3383068  3400514  3400855  3407014  3407115  3407302  3407423  3407555  3407814  3407950  3408721  3408821  3434826  3491922  3499042  3499202  3499363  3805164  3805294  3805632  3805996  4539708  4540250  4540380  4540505  4540639  4540779  4540972, 3164699  3312635  3312741  3312872  3312990  3346921  3347036  3365782  3365963  3366117  3366649  3366789  3366906  3367150  3367277  3367795  3776746  3776956  3777107  3777226  3777392  3777605  3777783  3779986  3780132  3780454  3781164  3862990  3863133  3863287  4100359  4368056  4454498, 3164372  3312345  3314823  3346622  3365565  3371114  3516091  3755471  3776214  3862778  3870734  3871363  4099996  4292210  4367819  4368294  4454105, 3164701  3313716  3315014  3347930  3367937  3371357  3516214  3755812  3781196  3863703  3871315  3871383  4101101  4294441  4368216  4368306  4456172, 3121886  4214523  4214972  4215574  4524889  4524998  4539348  4539448  4539975  4577090, 4214346  4214681  4215264  4215936  4524938  4525234  4539384  4539749  4541056, 4214348, 4214350, 4214352, 3201478  3201587  3202988  3203289  3203490  3204847  3205153  3205684  3206028  3206641  3209172  3210533  3222109  3262025  3262326  3351419  3355485  3356716  3358959  3380153  3793213  3793324  3793507  3793924  3794091  3794238  3796652  3796800  4077926  4079568  4567500, 4567507, 4567517, 4567667  4567675, 3201558  3202288  3203237  3203414  3203712  3204885  3205664  3205785  3206577  3207559  3209278  3210792  3224132  3262077  3262449  3355303  3356693  3357716  3359450  3380399  3793270  3793424  3793631  3794013  3794176  3795982  3796705  3797346  4078005  4081982  4567689, 4567697, L, 4577107, , , 1, 0, 0, 0, 1, 4577193, 4577204, L4:R2, 50.00, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, , 203, wrong_choice_chose_L, 4577180
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 4721474  4721616, 4721083  5015499, 4722666, 4694063  4788311  4788406  4789242, 4577349  4694347  4788345  4788622  4789282, 4578023, 4578024, 4578025, 5007942, 5007945, 5007949, 5008100  5008103, 5008113, 5008117, R, 5015507, , , 1, 0, 0, 0, 1, 5015553, 5015559, L4:R3, 42.86, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, , 202, wrong_choice_chose_R, 5015545
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
