max_trials, mode, repeat_wrong, win_delays, lose_delays, L_win_L_delay, L_lose_L_delay, R_win_L_delay, R_lose_L_delay, R_win_R_delay, R_lose_R_delay, L_win_R_delay, L_lose_R_delay, odor1_id, odor1_delay, odor1_duration, odor2_id, odor2_delay, odor2_duration, tone_delay, tone_duration, tone_period, L_reward_id, L_reward_delay, L_reward_duration, L_reward_num, L_bolus_delay, R_reward_id, R_reward_delay, R_reward_duration, R_reward_num, R_bolus_delay, trial_delay, error_duration, odor_port_error, well_error, choice_error, odor_port_timeout, well_timeout, debounce_up, debounce_down_odor_port, debounce_down_well, rewarded_well, odor_port_timeout_stim, odor_port_on_stim, odor_port_off_stim, odor1_on_stim, odor1_off_stim, odor2_on_stim, odor2_off_stim, tone_on_stim, tone_off_stim, L_well_on_stim, L_well_off_stim, R_well_on_stim, R_well_off_stim, L_reward_on_stim, L_reward_off_stim, R_reward_on_stim, R_reward_off_stim, reward_on_stim, reward_off_stim, well_timeout_stim, odor_port_early_go_stim, well_early_go_stim, wrong_choice_stim, odor_port_timeout_stim_delay, odor_port_on_stim_delay, odor_port_off_stim_delay, odor1_on_stim_delay, odor1_off_stim_delay, odor2_on_stim_delay, odor2_off_stim_delay, tone_on_stim_delay, tone_off_stim_delay, L_well_on_stim_delay, L_well_off_stim_delay, R_well_on_stim_delay, R_well_off_stim_delay, L_reward_on_stim_delay, L_reward_off_stim_delay, R_reward_on_stim_delay, R_reward_off_stim_delay, reward_on_stim_delay, reward_off_stim_delay, well_timeout_stim_delay, odor_port_early_go_stim_delay, well_early_go_stim_delay, wrong_choice_stim_delay, L_lick_ts, R_lick_ts, trial_start_ts, R_light_on_ts, L_light_on_ts, R_well_all_on_ts, R_well_all_off_ts, odor_port_all_on_ts, odor_port_on_ts, tone_on_ts, tone_off_ts, odor_port_all_off_ts, odor_port_off_ts, error_id, error_string, error_flg, odor_port_timeout_flg, odor_port_early_go_flg, wrong_choice_flg, well_early_go_flg, house_light_on_ts, R_light_off_ts, L_light_off_ts, choices, performance, L_clicks, R_clicks, L_well_all_on_ts, L_well_all_off_ts, well_id, well_on_ts, L_reward_ts, well_off_ts
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1  879562  879720  879964  880100  890442, 1  880886, 890780, 890781, 890783, 1112794  1113354, 1112875  1113529, 1133256  1133448  1135255, 1133258, 1133262, 1133412  1133415, 1133423  1134893  1135540, 1133426, 204, no_go, 1, 1, 0, 0, 0, 1148457, 1148465, 1148471, L0:R0, 0.00, 000(1)1, 000(1)1, , , , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , 1149277, 1149278, 1149279, , , 1173317  1173587, 1173318, 1173320, 1173471  1173472, 1173495  1173632, 1173497, 204, no_go, 1, 1, 0, 0, 0, 1188516, 1188521, 1188526, L0:R0, 0.00, 000(1)1, 000(1)1, , , , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1243579  1243763  1243945  1244058  1244259  1244562  1244697  1244900  1245045  1245159  1245277  1245400  1245512  1245635  1245749  1245876  1245993  1246111  1246226  1246348  1246504  1246617  1246733  1246850  1246966  1247082  1247225  1247342  1247470  1247584  1247758  1247879  1247993  1248125  1248361  1248524  1248698  1248896  1249013  1249131  1249264  1249452  1249584  1249859  1250167  1250338  1250452  1250565  1250764  1250903  1251048  1251194  1251329  1251478  1251596  1251756  1251954  1252085  1252230  1252383  1252534  1252659  1252783  1253008  1253122  1253270  1253422  1253540  1253679  1253803  1253931  1254075  1254196  1254321  1254543  1254674  1254786  1254944  1255124  1255319  1255530  1255644  1255761  1256062  1256177  1256595  1256712  1256846  1256974  1257095  1257238  1257422  1257738  1257859  1257996  1258248  1258362  1258788  1258912  1259038  1259207  1259319  1259449  1259602  1259736  1260158  1260443  1260579  1260694  1260811  1260950  1261166  1261556  1261791  1261908  1262039  1262168  1262297  1262430  1262588  1262787  1264056  1264171  1264287  1264484  1264930  1265062  1265179  1265300  1265427  1265555  1265680  1265792  1265972  1266132  1266294  1266424  1266586  1266749  1266914  1267062  1267281  1267402  1267547  1267672  1268068  1268312  1268682  1268826  1270155  1270298  1270426  1270552  1270699  1271266  1271721  1272151  1272274  1272416  1272713  1272916  1273032  1273288  1273399  1273576  1273691  1273840  1273968  1274104  1274753  1274938  1275102  1275219  1275374  1275507  1275635  1275814  1275987  1276570  1276692  1276952  1277070  1277203  1277318  1277456  1279026  1279145  1279260  1287560  1287714  1287848  1287959  1288074  1288184  1288450  1288604  1289003  1289196  1289489  1289989  1290370  1290569  1290992  1291120  1291258  1291401  1291520  1291798  1291948  1292085  1292231  1292383  1292542  1292691  1292856  1293148  1293261  1293553  1293681  1293936  1294064  1294605  1294887  1304786  1304926  1348064  1348210  1348331  1348443  1348555  1348669  1348788  1348909  1349023  1349145  1349258  1349417  1349530  1349651  1349770  1349886  1350003  1350118  1350236  1350366  1350490  1350622  1350746  1350872  1351000  1351140  1351489  1351632  1351767  1351918  1352050  1352194  1352422  1352532  1352647  1352769  1352881  1353028  1353196  1353340  1353473  1353602  1353720  1353860  1353999  1354115  1354290  1354443  1354568  1354714  1354863  1361896  1362162  1362304  1362429  1362562  1362874  1390818  1390958  1391070  1391202  1391312  1391428  1391580  1391746  1391861  1391982  1392105  1392228  1392355  1392480  1392610  1392747  1392882  1393018  1393152  1393275  1393449  1393623  1393762  1393903  1394042  1394181  1394325  1394729  1394860  1394978  1395093  1395210, 1306127  1306520  1308898  1309187  1309304  1309426  1309568  1309711  1309853  1309979  1310108  1310252  1310384  1310507  1310626  1310744  1310869  1310994  1311125  1311244  1311371  1311506  1311639  1311769  1311906  1312031  1312156  1312286  1312417  1312591  1312718  1312835  1312972  1313105  1314512  1314630  1315279  1315431  1315587  1316401  1316623  1316776  1316912  1317048  1317201  1317348  1317491  1317627  1317764  1317944  1318096  1318233  1318363  1318552  1318682  1318829  1319070  1319195  1319310  1319459  1319853  1320017  1320236  1320396  1320543  1320724  1320879  1321029  1321363  1321567  1321748  1326967  1327105  1327241  1327376  1327516  1327835  1327955  1328072  1328719  1328827  1328962  1329127  1329337  1329487  1329651  1329784  1329930  1330398  1330570  1330722  1330837  1330973  1331494  1332476  1332610  1332810  1332929  1333621  1333931  1334897  1335097  1335256  1335376  1335511  1335757  1335911  1336058  1336208  1336363  1336512  1336686  1336814  1336967  1337415  1337525  1337772  1337930  1338094  1338543  1338659  1380587  1380891  1381163  1381342  1381557  1381684  1381820  1382008  1382218  1382436  1382656  1382846  1383393  1384320  1384721  1384827  1385272  1385432  1385603  1385736  1385857, 1188866, 1188867, 1188868, 1308205  1326354  1326431  1337042  1380222  1380293  1387029  1387457, 1321735  1326383  1336962  1338620  1380244  1385906  1387039  1387762, 1388974, 1388979, 1388985, 1389136  1389142, 1389154, 1389160, , , 0, 0, 0, 0, 0, , 1398604, 1398617, L1:R0, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, 1242856  1243448  1267139  1271973  1272474  1274602  1274634  1274792  1278698  1287292  1287374  1292992  1347765  1347907  1361659  1390702, 1243086  1267118  1271787  1272393  1274189  1274618  1274719  1277481  1279351  1287341  1292802  1294830  1347828  1354882  1362605  1398530, L, 1390714, 1390721, 1398540
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1398773  1399488  1399626  1399737  1399852  1399971  1400109  1400235  1400379  1400554  1400676  1400790  1400904  1401023  1401155  1401305  1401424  1401541  1401676  1401835  1401989  1402146  1402863  1402979  1403108  1403234  1403355  1403468  1403587  1403710  1403942  1404103  1404249  1404362  1404495  1404625  1404807  1404917  1405042  1405186  1405329  1405479  1405627  1406735  1411677  1411792  1411909  1412024  1412214  1412375  1412507  1412622  1412745  1412954  1413138  1413363  1413597  1413713  1413865  1414017  1414144  1414262  1414398  1414532  1414644  1414840  1415114  1415244  1415371  1415520  1415655  1415815  1457039  1457167  1457296  1457566  1457680  1457800  1458143  1458483  1458642  1458806  1458928  1504988  1505137  1505249  1505411  1505551  1505701  1505820  1505940  1506063  1506203  1506315  1506469  1506728  1506852  1506992  1507123  1507250  1507398  1507510  1507630  1507778  1507918  1508061  1508180  1553952  1554074  1554194  1561496  1561690  1561803  1561950  1562079  1562207  1562548  1562671  1562788  1562899  1563074  1563252  1563383  1563717  1564027  1564144  1564581  1564693  1564864  1565029  1565201  1565337  1565517  1565671  1598660  1598843  1673533  1673726  1673897  1674213  1674457  1674697  1674856  1675001  1675149  1689121  1689289  1689422  1689538  1691185  1691311  1766631  1766766  1766879  1766992  1767144  1767283  1767394  1767528  1767670  1767974  1768094  1768213  1768349  1768479  1768925  1769051  1770601  1770727  1770869  1771165  1771287  1771425  1771590  1771859  1772028  1772143  1772267  1797169  1797305  1797462  1797638  1797754  1797873  1797986  1798105  1798236  1798748  1798865  1798978  1799244  1799365  1799823  1799936  1800062  1801703  1801844  1801988  1802105  1802225  1802540  1802710  1802999, 1527486  1527641  1528231  1528357  1528484  1528624  1528786  1529168  1529315  1529495  1529771  1532205  1532340  1532517  1532647  1533219  1533362  1533719  1533872  1534247  1534457  1535039  1535252  1535749  1536289  1536877  1537079  1537768  1538380  1538694  1538856  1539026  1539508  1539619  1540051  1540257  1540728  1540983  1541147  1541521  1541645  1541797  1541938  1542078  1542731  1542973  1543508  1543650  1543767  1543974  1545782  1546157  1546374  1546579  1546716  1547009  1547326  1547479  1547698  1547916  1548677  1548797  1548918  1549061  1549836  1550010  1550445  1550609  1585925  1586100  1586329  1586482  1586699  1587016  1587478  1587679  1587813  1587954  1588103  1588367  1588558  1588692  1589394  1589924  1590743  1590879  1591038  1591853  1592138  1592393  1592720  1592829  1592945  1593334  1593504  1593620  1595277  1596555  1655805  1656052  1656532  1656741  1656873  1657012  1657150  1657267, 1402149, 1402153, 1402158, 1526593  1529857  1531501  1545167  1545275  1585368  1655123  1655224  1657285  1657882  1777306, 1529745  1530259  1544046  1545222  1550600  1596830  1655141  1657210  1657864  1657901  1777656, 1804794, 1804807, 1804820, 1804971  1804983, 1804996, 1805009, , , 0, 0, 0, 0, 0, , 1808652, 1808654, L2:R0, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, 1399219  1402704  1402761  1403503  1403768  1403843  1403924  1411293  1411457  1412839  1413065  1456860  1456935  1504798  1553720  1553880  1560543  1561352  1561481  1565729  1598495  1598548  1673174  1687918  1688945  1689035  1690936  1766278  1766495  1767083  1767328  1796771  1796886  1797073  1808215, 1402143  1402749  1403486  1403683  1403790  1403912  1406661  1411428  1412802  1413049  1415802  1456916  1458905  1508186  1553835  1554137  1560662  1561460  1565703  1565769  1598522  1598808  1675117  1688120  1688967  1689534  1691571  1766334  1767044  1767288  1772404  1796789  1797011  1802952  1808476, L, 1808241, 1808254, 1808646
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1809193  1809421  1809542  1809655  1809768  1809909  1810021  1810137  1810247  1810379  1810493  1810605  1810721  1810833  1810957  1811080  1811195  1811322  1811462  1811582  1811704  1811855  1811977  1812102  1812243  1812376  1812498  1812616  1812755  1812902  1813041  1813204  1813320  1813508  1813648  1813783  1813896  1814017  1814142  1814270  1814386  1814500  1814648  1814772  1814894  1815030  1815149  1815290  1815439  1815601  1815812  1816015  1816145  1816262  1816594  1816726  1817184  1817298  1817414  1817541  1817657  1817802  1817934  1818066  1818182  1818916  1819041  1819303  1819560  1819950  1820062  1820200  1820338  1820935  1821094  1821230  1821691  1821821  1822044  1822820  1822961  1823087  1823420  1823599  1823764  1824125  1824239  1824731  1824870  1825228  1832124  1832245  1832363  1832514  1832636  1832751  1832867  1833122  1833238  1833553  1833688  1833801  1833922  1834270  1834403  1834672  1834820  1834960  1835113  1835239  1835355  1835475  1835665  1835794  1836196  1836872  1837071  1854022  1854212  1854324  1854440  1854555  1854689  1855048  1855840  1855958  1856365  1856900  1857012  1857128  1857253  1857383  1858463  1858718  1859666  1859809  1860450  1860582  1860719  1860833  1861153  1861265  1861479  1861974  1862142  1862552  1943671  1943841  1944183  1944461, 1842366  1842878  1845657  1846455  1846593  1947620  1947740  1948197  1948838  1949139, 1815565, 1815572, 1815578, 1841857  1843322  1845289  1904116  1906296  1947276, 1843182  1843588  1847267  1905466  1912591  1949155, 2005577  2018937  2019031  2019127  2019236, 2005579, 2005582, 2005733  2005735, 2005744  2018972  2019093  2019159  2019695, 2005747, 204, no_go, 1, 1, 0, 0, 0, 2020782, 2020790, 2020796, L2:R0, 100.00, 000(1)1, 000(1)1, 1808696  1815585  1816610  1818601  1818729  1820754  1822496  1822571  1823803  1824025  1831991  1836414  1853897  1854015  1855683  1919019  1919102  1943357  1943560  1944045  1944526, 1815559  1816573  1818132  1818679  1820365  1822061  1822546  1823783  1823849  1825249  1836207  1836991  1853956  1855062  1862541  1919037  1919156  1943510  1943740  1944498  1944569, , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
