max_trials, mode, repeat_wrong, win_delays, lose_delays, L_win_L_delay, L_lose_L_delay, R_win_L_delay, R_lose_L_delay, R_win_R_delay, R_lose_R_delay, L_win_R_delay, L_lose_R_delay, odor1_id, odor1_delay, odor1_duration, odor2_id, odor2_delay, odor2_duration, tone_delay, tone_duration, tone_period, L_reward_id, L_reward_delay, L_reward_duration, L_reward_num, L_bolus_delay, R_reward_id, R_reward_delay, R_reward_duration, R_reward_num, R_bolus_delay, trial_delay, error_duration, odor_port_error, well_error, choice_error, odor_port_timeout, well_timeout, debounce_up, debounce_down_odor_port, debounce_down_well, rewarded_well, odor_port_timeout_stim, odor_port_on_stim, odor_port_off_stim, odor1_on_stim, odor1_off_stim, odor2_on_stim, odor2_off_stim, tone_on_stim, tone_off_stim, L_well_on_stim, L_well_off_stim, R_well_on_stim, R_well_off_stim, L_reward_on_stim, L_reward_off_stim, R_reward_on_stim, R_reward_off_stim, reward_on_stim, reward_off_stim, well_timeout_stim, odor_port_early_go_stim, well_early_go_stim, wrong_choice_stim, odor_port_timeout_stim_delay, odor_port_on_stim_delay, odor_port_off_stim_delay, odor1_on_stim_delay, odor1_off_stim_delay, odor2_on_stim_delay, odor2_off_stim_delay, tone_on_stim_delay, tone_off_stim_delay, L_well_on_stim_delay, L_well_off_stim_delay, R_well_on_stim_delay, R_well_off_stim_delay, L_reward_on_stim_delay, L_reward_off_stim_delay, R_reward_on_stim_delay, R_reward_off_stim_delay, reward_on_stim_delay, reward_off_stim_delay, well_timeout_stim_delay, odor_port_early_go_stim_delay, well_early_go_stim_delay, wrong_choice_stim_delay, L_lick_ts, R_lick_ts, trial_start_ts, R_light_on_ts, L_light_on_ts, L_well_all_on_ts, L_well_all_off_ts, R_well_all_on_ts, R_well_all_off_ts, odor_port_all_on_ts, odor_port_on_ts, tone_on_ts, tone_off_ts, odor_port_all_off_ts, odor_port_off_ts, error_id, error_string, error_flg, odor_port_timeout_flg, odor_port_early_go_flg, wrong_choice_flg, well_early_go_flg, house_light_on_ts, R_light_off_ts, L_light_off_ts, choices, performance, L_clicks, R_clicks, well_id, well_on_ts, R_reward_ts, well_off_ts, L_reward_ts
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1  765162  765265  788586  939011  939113  939223  939339  939442  939554  939670  939788  939938  940057  940169  940289  940407  940523  940647  940782  940909  941009  941154  941278  941410  941556  941702  941817, 1  947662  947773  947955  948074  948193  948311  948431  948555  948686  948815  948979  949123  949258  949407  949545  949689  949829  949954  950097  950237, 931952, 931953, 931954, 938307  938726  943948, 938435  941789  944089, 947300, 950174, 950803, 950810, 950819, 950969  950977, 950990, 950999, 204, no_go, 1, 1, 0, 0, 0, 966062, 966073, 966083, L0:R0, 0.00, 000(1)1, 000(1)1, , , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 986600   986741   986849   986967   987099   987228   987358   987495  1007341  1007600  1007705  1007812  1007942  1008056  1008210  1008389  1008497  1008613  1008713  1008821  1008960  1009099  1010837  1014423  1045595  1045713  1045826  1045929  1046043  1046246  1046397, 973644   973766   973922   974081   974191  1030899, 967609, 967610, 967610, 986350  1007267  1007400  1009808  1009857  1010198  1010771  1010830  1011050  1045151  1045204  1047477  1049636, 987527  1007345  1009046  1009828  1009914  1010604  1010816  1010850  1011146  1045165  1046361  1047493  1049686, 973297   974315  1030990  1051758, 974268   974336  1031005  1051960, 1049212, 1049223, 1049234, 1049384  1049395, 1050575, 1050587, , , 0, 0, 0, 0, 0, , 1052046, 1052059, L0:R1, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, R, 1051781, 1051793, 1051972, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1104526  1104650  1104763  1104871  1105180  1105306  1105419  1105523  1105667  1105786  1105953, 1089667  1089769  1089907  1090029  1090154  1090284  1090404  1090520  1090643  1090768  1090896  1091031  1091160  1091281  1091411  1091547  1091716  1091833  1091942  1092085  1092244  1092365  1092490  1092680  1092835  1093411  1093550  1093675  1093786  1093906  1094050  1094196  1094344  1094500  1094618  1094873  1094981  1095090  1095235  1095377  1095493  1095606  1095748  1095897  1096044  1096178  1096373  1096506  1096641  1096801  1096904  1097126  1097279  1097547  1097652  1097765  1097874  1099899  1100026  1125136  1125382  1125483  1125609  1125830  1125946  1126177  1126304  1126425  1126549  1126672  1126802  1126931  1127061  1127187  1127315  1127449  1127589  1127754  1127877  1128018  1128375  1128480  1128606  1128761  1128894  1129060  1129174  1129345  1129492  1129631  1129764  1129937  1130055  1130180  1130291  1130471  1130583  1130741  1130989, 1052696, 1052697, 1052699, 1104455  1119892, 1105972  1120100, 1052269  1089267  1094630  1097935  1098065  1099615  1099700  1100620  1124757, 1052281  1094563  1097888  1098014  1098184  1099639  1100226  1100751  1131118, 1120828, 1120840, 1120854, 1121005  1121017, 1121037, 1121050, , , 0, 0, 0, 0, 0, , 1131158, 1131165, L0:R2, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, R, 1124784, 1124954, 1131123, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1163319  1163418  1163526  1163626  1163753  1164002  1164114  1164239  1164387  1164497  1203606  1203722  1203893  1203995  1204171  1204276  1204375  1204519  1208175  1208284  1208395  1229780  1229926  1230030  1230132  1230234  1230388  1230489  1230599  1230792  1230901  1300771  1300884  1301018  1301126  1301240  1301344  1301457  1301567  1301691  1301816  1301942  1302060  1302170  1302300  1302442  1302568  1302667  1302780  1302880  1302986  1303097  1303210  1303329  1303442  1303559  1303662  1303770  1303891  1304035  1304206  1304310  1304413  1304560  1304682  1304798  1305128  1305339  1305439  1305593  1305738  1305849, 1132154  1132271  1132389  1132493  1132605  1132767  1132921  1133053  1133303  1179833  1181042  1181189  1181310  1181456  1213460  1213602  1213769  1213874  1218461  1226222  1227015  1284882, 1131933, 1131934, 1131934, 1162978  1170337  1203315  1208050  1229625  1300545, 1164538  1170382  1204587  1208528  1230760  1305954, 1131953  1179721  1180811  1181817  1185709  1187704  1194269  1194897  1212950  1213002  1216012  1218319  1225899  1226506  1226612  1285118, 1133423  1180275  1181652  1181831  1185808  1193341  1194351  1196475  1212967  1213948  1216235  1218586  1226470  1226569  1226668  1285095  1285156, 1291851  1292471  1296336, 1291852, 1291854, 1292005  1292007, 1292014  1293102  1296697, 1292016, , , 0, 0, 0, 0, 0, , 1306014, 1306023, L1:R2, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, L, 1300551, , 1305962, 1300555
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1306148  1310185  1310351  1312484  1312619  1348772  1348879  1348999  1349184  1349381  1349485  1349628  1349744  1350111  1350224  1353528  1353959  1354063  1354810  1398974  1399088  1399195  1399316  1399473  1399625  1399777  1399889  1400109  1400962  1401089  1427672  1427788  1428856  1429013  1429170  1429736  1429890  1439325  1445507, 1331242  1331347  1331474  1331582  1331767  1332150  1332264  1332386  1332536  1332767  1332945  1389199  1389304  1389428  1389545  1389651  1389787  1389895  1390023  1390162  1390267  1390373  1390688  1391006  1391171  1397440  1419147  1419261  1419383  1419485  1419617  1419719  1419823  1419971  1420101  1420370  1420476  1420691, 1307034, 1307035, 1307036, 1309906  1312333  1348538  1353323  1353425  1353625  1398688  1398757  1427401  1445254, 1310439  1312600  1350178  1353391  1353454  1354057  1398721  1401078  1427801  1445550, 1330922  1335778  1388528  1388688  1392900  1394837  1418874, 1333097  1336309  1388576  1391815  1393206  1394853  1421107, 1434165, 1434167, 1434170, 1434320  1434322, 1434737, 1434740, , , 0, 0, 0, 0, 0, , 1445578, 1445583, L2:R2, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, L, 1445260, , 1445553, 1445263
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1446147  1448600  1461927  1472149  1472265  1472377  1472487  1472608  1472720  1472850  1472993  1473125  1473262  1473385  1473516  1473626  1473845  1473976  1474104  1474231  1474355  1474492  1474627  1474761  1474925  1475065  1475205  1475340  1475467  1475609  1475774  1476172  1476298  1476450  1476566  1476695  1476798  1476902  1477017  1477197  1477315  1477439  1477604  1477712  1477896  1478227  1478328  1478512  1479166  1479266  1479372  1479480  1479585  1479689  1479795  1480260  1480361  1480460  1480609  1480761  1480919  1481083  1481250  1481356  1481466  1481568  1481774  1482256  1482361  1482473  1482608  1482710  1482815  1482916  1483021  1483341  1485277  1485396  1485513  1489447  1505820  1505934  1506054  1506171  1506306  1506411  1506580  1506681  1507056  1507183  1507373  1507481  1507582  1518682  1518805  1518919  1519064  1535963  1536063  1536237  1536341  1536457  1536570  1536678  1536779  1536900  1537023  1537130  1537246  1571808  1571907  1572012  1572174  1572275  1572406  1572544  1572711  1572820  1574555  1574663  1574763  1574889  1584724  1584838, 1467434  1467594  1467733  1467912  1468014  1468127  1468247  1468359  1468485  1468589  1468712  1468818  1469193  1469304  1469416  1500801  1500935  1501041  1501399  1501517  1501672  1501991  1502098  1530912  1531050  1531184  1531373  1531539  1546725  1546836  1592534  1592646  1592845  1593046  1593157  1593265  1593374  1593483  1593593  1593825  1593929  1594040  1594183  1594292  1594423  1594670  1594772  1595468  1595579, 1446176, 1446177, 1446177, 1471875  1478887  1478971  1484945  1485129  1485815  1486494  1487094  1489392  1505624  1518439  1535539  1535781  1535837  1571440  1574353  1584477  1584514  1584552, 1478492  1478929  1483048  1484974  1485471  1486129  1486812  1487119  1489402  1507506  1519059  1535752  1535824  1537524  1572860  1574839  1584495  1584532  1584875, 1467042  1500331  1530413  1546349  1546399  1592236  1592442  1599598, 1469383  1502329  1531652  1546368  1546862  1592266  1595614  1599799, 1597648, 1597651, 1597655, 1597806  1597809, 1597985, 1597989, , , 0, 0, 0, 0, 0, , 1599835, 1599841, L2:R3, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, R, 1599607, 1599612, 1599803, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1647233  1647412  1647515  1647621  1647768  1647870  1648124  1648257  1648398  1648499  1648639  1648849  1649092  1649951  1650084  1650197  1651353  1651458  1660051  1660162  1670982  1671103  1671309  1671435  1701810  1701937  1702087  1702231  1703064  1703220  1703340  1703451  1703571  1703805  1706218  1706327  1706460  1706632  1706740  1706895  1707017  1707120  1707239  1707358  1707699  1707993  1709328  1710033  1711184  1712074  1723071  1723202  1741628  1741743  1741859  1742008  1742128  1742357  1742498  1745121  1745280  1745383  1745483  1747714  1774460  1774567  1774688  1774873  1774992  1775099  1815369  1815472  1815580  1815695  1815799  1815901  1816162  1816276  1816376  1816489  1816638  1816751  1817369  1817532  1818014  1818115  1819113  1819245  1852029  1852133  1852238  1852343  1852467  1852818  1852940  1853040  1853149  1853252  1853425  1874781  1874900  1875000  1875132  1875270  1875370  1875502  1875637  1887935  1888037  1935065  1964610  1965115  1965221  1965412  1965535  1965645  1965836  1965968  1966108  1973314  1973433  1973543  2039343  2039466  2039579  2039691  2039804  2039920  2054804  2054916  2055032  2055131  2055335  2055444  2055550  2055727  2055839  2055943  2056046  2056150  2056255  2056595  2056700  2056806  2056911  2057835  2057946  2058507  2058650  2058771  2058883  2059024  2059180  2059303  2059547  2061394  2061514  2061933  2062071  2062645  2062783  2062901  2063025  2063124  2063242  2063364  2063522  2063632  2063745  2063887  2064094  2064621  2065250  2065984  2066176  2066275  2066488  2066744  2067689  2067846  2067961  2068079  2068337  2068453  2068846  2069177  2069896  2070608  2070805  2070998  2071105  2071415  2071793  2071912  2072073  2074683  2074942  2075149  2075772  2075967  2076085  2076203  2076310  2076565  2080592  2080855  2095606  2095709  2102729  2102859  2102960  2103073  2103171  2103291  2103405  2103523  2104422  2104534  2104659  2104863  2104969  2105082  2105214  2112536  2112639  2112761  2113007  2113107  2113207  2113313  2113425  2113541  2113640  2113749  2113867  2113980  2114090  2114191  2114407  2114515  2114658  2114777  2114879  2115023  2115162  2115278  2115386  2115580  2115680  2115791  2115891  2116018  2116181  2116281  2116486  2116592  2116749  2116911  2117073  2117239  2117395  2117559  2117737  2117884  2118014  2118113  2118245  2118404  2118560  2118660  2118780  2118879  2118995  2119140  2119301  2119472  2119638  2119750  2119903, 1600828  1601029  1601387  1601561  1601722  1601828  1601945  1602129  1602299  1602420  1602555  1602684  1602806  1602922  1603050  1603178  1603307  1603464  1603590  1603702  1603815  1603979  1604244  1604347  1604472  1604579  1604684  1604840  1604990  1605222  1605454  1605558  1605680  1605854  1606016  1606123  1606229  1606336  1606487  1606643  1606773  1606876  1607079  1607189  1607537  1607737  1610896  1611108  1611227  1611409  1611571  1611682  1611804  1611936  1612129  1613024  1619010  1620328  1620578  1620815  1623360  1625375  1625489  1625608  1625792  1625898  1626235  1626336  1626484  1626585  1626688  1626793  1626963  1628131  1628383  1639988  1640132  1640393  1640548  1640651  1664245  1665541  1665668  1665806  1665918  1666088  1666213  1695787  1695891  1696058  1696162  1696300  1696406  1696652  1696864  1696983  1697119  1698604  1698711  1698829  1698966  1699145  1699255  1699399  1720940  1721127  1721229  1721391  1751667  1751844  1752127  1752246  1752400  1752634  1752832  1752986  1753193  1753305  1753582  1753838  1754421  1754613  1754828  1754983  1755248  1767988  1768430  1768543  1768675  1768821  1769022  1811681  1813205  1813387  1856907  1857109  2006953  2007124  2007322  2007431  2007578  2007692  2007815  2007916  2008035  2008207  2008354  2008466  2008643  2086677  2086803  2086932  2087036  2087449  2087589  2087712  2087870  2087992  2088387  2088506  2088660, 1600658, 1600659, 1600660, 1646896  1648924  1649780  1651222  1653014  1659903  1670805  1671270  1701620  1702940  1703813  1705780  1709115  1709204  1709395  1710043  1711877  1722904  1741279  1744860  1745631  1745799  1746441  1774204  1815173  1818185  1818944  1849647  1851771  1874559  1876146  1876968  1877038  1887538  1923728  1964788  1973082  2039132  2053221  2054525  2061074  2062535  2072906  2073960  2074479  2075776  2076438  2080323  2095241  2102498  2104240  2112367, 1648914  1649121  1650163  1651494  1653030  1660240  1671237  1671285  1702249  1703747  1704593  1707978  1709167  1709233  1709958  1710061  1712056  1723216  1742465  1745579  1745679  1745848  1746493  1775072  1818103  1818330  1819198  1849743  1853633  1875621  1876292  1876989  1877084  1888358  1923748  1966113  1973478  2039908  2053332  2059505  2062048  2072862  2073929  2073971  2075593  2076300  2076787  2080809  2095793  2103492  2105235  2119992, 1600841  1600892  1610563  1612452  1617852  1618676  1620867  1623235  1623323  1624010  1624340  1625084  1627941  1631497  1639514  1639617  1663888  1665177  1665384  1695553  1698361  1720547  1751305  1755433  1763004  1763259  1765356  1766879  1767122  1767437  1768174  1810446  1810565  1811328  1813025  1856539  1954902  2006567  2006608  2086461  2089408, 1600857  1607855  1612121  1612485  1618590  1620753  1621007  1623283  1623372  1624125  1624395  1627123  1628214  1631956  1639597  1640906  1664279  1665196  1666241  1697109  1699438  1721564  1755403  1755537  1763195  1763541  1765592  1766922  1767141  1767458  1769180  1810501  1810876  1811917  1813357  1857084  1955089  2006597  2008655  2088769  2089666, 2109472  2109960, 2109482, 2109493, 2109644  2109654, 2109781  2110096, 2109792, , , 0, 0, 0, 0, 0, , 2120032, 2120039, L3:R3, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, L, 2112390, , 2119997, 2112402
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2120343  2120450  2120597  2120705  2120816  2120922  2121084  2121185  2121307  2121449  2121551  2121689  2122073  2122180  2122296  2122665  2122920  2123059  2123319  2123428  2123533  2123926  2124030  2124132  2124261  2124459  2124605  2124898  2126116  2127933  2128174  2128277  2128381  2128549  2128799  2131155  2131333  2131435  2131705  2131808  2131969  2132116  2132232  2132487  2132589  2132707  2132848  2133128  2133235  2133353  2133735  2134013  2134162  2134265  2134369  2134609  2134818  2134925  2135198  2135300  2135482  2136308  2136416  2136523  2136641  2136788  2136965  2137077  2137181  2137290  2137398  2137503  2137636  2141648  2142065  2142398  2143148  2143443  2144045  2144172  2144286  2144455  2144720  2144857  2145015  2145116  2145225  2145328  2145716  2145823  2150431  2150660  2150914  2151304  2151406  2151511  2151621  2151981  2152096  2152285  2152436  2152560  2156121  2156264  2156426  2156593  2156725  2156842  2156942  2157077  2157184  2157320  2157430  2157550  2157693  2157859  2157964  2158302  2158412  2158516, , 2122112, 2122115, 2122117, 2120195  2122399  2122540  2122792  2125964  2127837  2128658  2130976  2136094  2141263  2141358  2141890  2141986  2143955  2150273  2155095  2155173  2156009  2156153  2158585  2158680  2163417, 2122110  2122492  2122614  2124969  2126164  2128561  2128806  2135380  2137660  2141320  2141695  2141922  2143938  2145882  2152532  2155155  2155209  2156026  2158524  2158631  2158713  2163644, , , 2166564, 2166573, 2166583, 2166733  2166742, 2167631, 2167641, 204, no_go, 1, 1, 0, 0, 0, 2182714, 2182727, 2182740, L3:R3, 100.00, 000(1)1, 000(1)1, , , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 2217334  2217499  2217631  2217920  2218100  2218224  2218353  2218493  2218619  2218753  2218887  2219027  2219167  2219310  2219438  2219876  2219991  2220149  2220294  2220441  2220590  2220740  2220897  2221357  2221471  2221580  2221684  2221872  2222076  2222216  2222393  2222496  2222657  2222819, 2183494, 2183495, 2183497, , , 2217002, 2222860, 2203784  2204381  2204661  2205107  2207690, 2203785, 2203787, 2203938  2203939, 2203947  2204595  2204702  2205129  2207725, 2203949, , , 0, 0, 0, 0, 0, , 2222918, 2222927, L3:R4, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, R, 2217009, 2217012, 2222868, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2240576  2240681  2240833  2240942  2242138  2242239  2242475  2242630  2242921  2275846  2275992  2276274  2277485  2284889  2285015  2285163  2285274  2285380  2285669  2285770  2285870  2286034  2286143  2286258  2286423  2286632  2286746  2286871  2286989  2287096  2287265  2287393  2287557  2287742  2287855  2288087  2288293  2289713  2289827  2289940  2290042  2290145  2290244  2290363  2290470  2290583  2290840  2290967  2291157  2291498  2292190  2292307  2292428  2293345  2302221  2302341  2302458  2302575  2302707  2312449  2312614  2312716  2312975  2313152, 2226659  2226766  2226875  2227008  2227135  2229563  2231991  2232095  2232196  2232305  2232430  2232668  2233228  2233340  2233453  2233564  2233705  2233895  2234005  2234178  2246626  2331008  2331120  2331236  2331357  2331474  2331585  2331701  2331826  2331951  2332080  2332217  2332350  2332516  2332643  2332782  2332947  2333071  2333188  2333293  2333436  2333558  2333731  2333887  2333993  2334161  2334314  2334478  2334650  2334913  2335130  2335254  2335376  2335540  2335758  2335875, 2223565, 2223566, 2223566, 2240245  2242006  2284552  2288909  2289054  2289405  2289470  2290604  2291326  2292044  2292517  2300374  2301034  2301781  2302040  2312163  2312362, 2241021  2242955  2288135  2288970  2289359  2289448  2290543  2291149  2291554  2292469  2292589  2300939  2301110  2301855  2302718  2312343  2313184, 2226490  2227599  2228646  2228753  2229461  2231763  2234029  2246218  2330669, 2227142  2227845  2228684  2229262  2229482  2233985  2234264  2246722  2336049, 2324870, 2324876, 2324883, 2325033  2325039, 2325051, 2325057, , , 0, 0, 0, 0, 0, , 2336132, 2336145, L3:R5, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, R, 2330682, 2330690, 2336060, 
