max_trials, mode, repeat_wrong, win_delays, lose_delays, L_win_L_delay, L_lose_L_delay, R_win_L_delay, R_lose_L_delay, R_win_R_delay, R_lose_R_delay, L_win_R_delay, L_lose_R_delay, odor1_id, odor1_delay, odor1_duration, odor2_id, odor2_delay, odor2_duration, tone_delay, tone_duration, tone_period, L_reward_id, L_reward_delay, L_reward_duration, L_reward_num, L_bolus_delay, R_reward_id, R_reward_delay, R_reward_duration, R_reward_num, R_bolus_delay, trial_delay, error_duration, odor_port_error, well_error, choice_error, odor_port_timeout, well_timeout, debounce_up, debounce_down_odor_port, debounce_down_well, rewarded_well, odor_port_timeout_stim, odor_port_on_stim, odor_port_off_stim, odor1_on_stim, odor1_off_stim, odor2_on_stim, odor2_off_stim, tone_on_stim, tone_off_stim, L_well_on_stim, L_well_off_stim, R_well_on_stim, R_well_off_stim, L_reward_on_stim, L_reward_off_stim, R_reward_on_stim, R_reward_off_stim, reward_on_stim, reward_off_stim, well_timeout_stim, odor_port_early_go_stim, well_early_go_stim, wrong_choice_stim, odor_port_timeout_stim_delay, odor_port_on_stim_delay, odor_port_off_stim_delay, odor1_on_stim_delay, odor1_off_stim_delay, odor2_on_stim_delay, odor2_off_stim_delay, tone_on_stim_delay, tone_off_stim_delay, L_well_on_stim_delay, L_well_off_stim_delay, R_well_on_stim_delay, R_well_off_stim_delay, L_reward_on_stim_delay, L_reward_off_stim_delay, R_reward_on_stim_delay, R_reward_off_stim_delay, reward_on_stim_delay, reward_off_stim_delay, well_timeout_stim_delay, odor_port_early_go_stim_delay, well_early_go_stim_delay, wrong_choice_stim_delay, L_lick_ts, R_lick_ts, L_well_all_on_ts, L_well_all_off_ts, trial_start_ts, R_light_on_ts, L_light_on_ts, R_well_all_on_ts, R_well_all_off_ts, odor_port_all_on_ts, odor_port_on_ts, tone_on_ts, tone_off_ts, odor_port_all_off_ts, odor_port_off_ts, well_id, well_on_ts, L_reward_ts, well_off_ts, error_flg, odor_port_timeout_flg, odor_port_early_go_flg, well_early_go_flg, wrong_choice_flg, R_light_off_ts, L_light_off_ts, choices, performance, L_clicks, R_clicks, R_reward_ts, error_id, error_string, house_light_on_ts
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 969181  969322  969437  969886  970012  970183  971159  971384  971541  971644  972669  972816  989934  990048  990326, , 968961  970959  989507  989736, 970477  972855  989579  990706, 966639, 966640, 966641, 984071  993531  994466, 966639  985243  994448  996739, 1008611  1009282, 1008616, 1008622, 1008772  1008777, 1008788  1009978, 1008793, , , , , 1, 1, 0, 0, 0, 1023849, 1023857, L2:R8, 70.00, 000(1)1, 000(1)1, , 204, no_go, 1023840
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1024191  1024352  1024498  1024727  1025042  1026830  1026954  1027055  1027245  1027456  1027610  1027732  1027898  1028195  1028808  1028917  1029571  1030128  1030608  1030897  1033434  1033538  1033799  1044171  1044293  1044416  1044615  1044752  1045003  1045108  1047687  1047853  1048061  1048252  1048383  1048560  1076846  1076975, , 1023965  1024001  1026704  1033212  1043974  1045342  1047562  1076662, 1023976  1025033  1028879  1033608  1045277  1045368  1048391  1077056, 1025034, 1025036, 1025038, 1037903  1038926  1067024  1068303  1071831  1086064, 1038873  1039989  1067538  1069436  1072120, 1080674  1083244  1083954, 1080683, 1080694, 1080845  1080855, 1080871  1083362  1084175, 1080882, R, 1086087, , , 1, 0, 0, 0, 1, 1086198, 1086211, L1:R9, 60.00, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, , 202, wrong_choice_chose_R, 1086183
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1107040  1107251  1108672  1109427  1109544  1109653  1109755  1109861  1109964  1110219  1110382  1110532  1110913  1111028  1111150  1111282  1111416  1112597  1112724  1130067  1130326, , 1093704  1106788  1108446  1110617  1129823, 1094941  1107213  1110564  1112879  1130198, 1087334, 1087335, 1087336, 1098014  1118650  1137960  1139129  1147684, 1087334  1099804  1119360  1138674  1140052, 1144845, 1144851, 1144859, 1145010  1145017, 1145499, 1145506, R, 1147699, , , 1, 0, 0, 0, 1, 1147776, 1147786, L1:R9, 50.00, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, , 202, wrong_choice_chose_R, 1147764
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1159876  1160003  1162354  1166142, , 1159611  1162030  1165939, 1159885  1162496  1166800, 1149180, 1149181, 1149182, 1179813, 1149180, 1172024, 1172026, 1172030, 1172182  1172185, 1172648, 1172652, R, 1179821, , , 1, 0, 0, 0, 1, 1179862, 1179868, L1:R9, 40.00, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, , 202, wrong_choice_chose_R, 1179854
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , 1181245, 1181246, 1181247, 1191534, 1181245, 1184589  1184856, 1184590, 1184592, 1184743  1184744, 1184752  1187125, 1184754, R, 1191539, , , 1, 0, 0, 0, 1, 1191571, 1191575, L1:R9, 40.00, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, , 202, wrong_choice_chose_R, 1191564
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1207188  1207302  1207449  1207773  1217812  1217913  1221921  1222326  1225068  1225210  1225342  1225449  1246882  1247150, , 1206985  1209982  1217606  1221330  1222443  1224806  1224861  1246598, 1208476  1210452  1218085  1222403  1222496  1224846  1225914  1247733, 1195823, 1195824, 1195825, 1195863  1202197  1241368  1242014  1244144, 1195823  1196192  1202922  1241508  1242856  1244407, 1276746  1278103  1279254  1279382, 1276753, 1276762, 1276912  1276919, 1276932  1278162  1279345  1280576, 1276939, , , , , 1, 1, 0, 0, 0, 1292018, 1292028, L1:R9, 40.00, 000(1)1, 000(1)1, , 204, no_go, 1292006
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , 1292725, 1292726, 1292727, , , 1292908  1295973  1296156  1298089  1298817  1299761  1299842  1302623  1304590  1304805  1305856  1306569, 1292909, 1292911, 1293062  1293063, 1293071  1296123  1296222  1298591  1298829  1299812  1302590  1304363  1304626  1305829  1306067  1307725, 1293073, , , , , 1, 1, 0, 0, 0, 1308128, 1308135, L1:R9, 40.00, 000(1)1, 000(1)1, , 204, no_go, 1308118
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1320850  1334754  1337827  1341133  1342134  1342279  1342418  1346395  1371313  1378204  1378445  1378579  1378690  1379016  1379192  1379317  1379488  1379640  1381217  1381405  1381577  1383065  1386279  1387394  1387643  1387760  1387890  1388064  1388293  1389701  1403154  1403260  1403456  1405758  1407764  1407878  1422941  1423056  1423177  1423307  1461942  1470855  1474408  1475542  1476541  1486855  1486961  1487099  1487264  1490425  1881808  1882063  1884369  1884511  1884713  1901068  1901404  1904793  1909064  1913743  1914542  1914931  1915122  1931199  1931310  1931411  1931522  1932029  1932139  1932246  1932353  1950032, , 1320596  1334414  1340910  1342034  1345881  1345931  1346327  1371047  1371499  1377907  1378129  1386022  1402742  1407633  1422733  1461566  1462136  1470642  1474213  1486721  1881458  1884140  1886644  1888505  1900829  1904364  1908782  1909495  1913881  1914805  1931033  1931217  1949750  1950930, 1321508  1335857  1341164  1343025  1345907  1346247  1346855  1371307  1371832  1378116  1383226  1389402  1405748  1407971  1425101  1461773  1463277  1473175  1476671  1488982  1882534  1884707  1886671  1888903  1902832  1904924  1909169  1909809  1914611  1915103  1931173  1932431  1950903  1950947, 1308821, 1308821, 1308822, 1311158  1314727  1351081  1352613  1354786  1358769  1414831  1496030  1511041  1531650  1583661  1592974  1766889  1780157  1867344  1868516  1920775  1922009  1923135  1923652  1938926  1945739  1959634, 1312346  1315996  1352574  1354701  1357156  1362066  1416196  1505707  1520638  1532860  1585827  1600964  1768987  1783421  1867513  1872311  1921554  1922321  1923479  1923837  1940134  1946084, 1956014, 1956015, 1956018, 1956169  1956171, 1956327, 1956329, R, 1959640, , , 1, 0, 0, 0, 1, 1959670, 1959675, L0:R10, 30.00, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, , 202, wrong_choice_chose_R, 1959664
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , 1961325, 1961326, 1961327, 1972717, 1961325, 1969241, 1969242, 1969244, 1969395  1969396, 1969743, 1969745, R, 1972721, , , 1, 0, 0, 0, 1, 1972750, 1972754, L0:R10, 20.00, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, , 202, wrong_choice_chose_R, 1972744
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
