max_trials, mode, repeat_wrong, win_delays, lose_delays, L_win_L_delay, L_lose_L_delay, R_win_L_delay, R_lose_L_delay, R_win_R_delay, R_lose_R_delay, L_win_R_delay, L_lose_R_delay, odor1_id, odor1_delay, odor1_duration, odor2_id, odor2_delay, odor2_duration, tone_delay, tone_duration, tone_period, L_reward_id, L_reward_delay, L_reward_duration, L_reward_num, L_bolus_delay, R_reward_id, R_reward_delay, R_reward_duration, R_reward_num, R_bolus_delay, trial_delay, error_duration, odor_port_error, well_error, choice_error, odor_port_timeout, well_timeout, debounce_up, debounce_down_odor_port, debounce_down_well, rewarded_well, odor_port_timeout_stim, odor_port_on_stim, odor_port_off_stim, odor1_on_stim, odor1_off_stim, odor2_on_stim, odor2_off_stim, tone_on_stim, tone_off_stim, L_well_on_stim, L_well_off_stim, R_well_on_stim, R_well_off_stim, L_reward_on_stim, L_reward_off_stim, R_reward_on_stim, R_reward_off_stim, reward_on_stim, reward_off_stim, well_timeout_stim, odor_port_early_go_stim, well_early_go_stim, wrong_choice_stim, odor_port_timeout_stim_delay, odor_port_on_stim_delay, odor_port_off_stim_delay, odor1_on_stim_delay, odor1_off_stim_delay, odor2_on_stim_delay, odor2_off_stim_delay, tone_on_stim_delay, tone_off_stim_delay, L_well_on_stim_delay, L_well_off_stim_delay, R_well_on_stim_delay, R_well_off_stim_delay, L_reward_on_stim_delay, L_reward_off_stim_delay, R_reward_on_stim_delay, R_reward_off_stim_delay, reward_on_stim_delay, reward_off_stim_delay, well_timeout_stim_delay, odor_port_early_go_stim_delay, well_early_go_stim_delay, wrong_choice_stim_delay, L_lick_ts, R_lick_ts, L_well_all_on_ts, L_well_all_off_ts, R_well_all_on_ts, R_well_all_off_ts, trial_start_ts, R_light_on_ts, L_light_on_ts, odor_port_all_on_ts, odor_port_on_ts, tone_on_ts, tone_off_ts, odor_port_all_off_ts, odor_port_off_ts, well_id, well_on_ts, L_reward_ts, well_off_ts, error_flg, odor_port_timeout_flg, odor_port_early_go_flg, well_early_go_flg, wrong_choice_flg, R_light_off_ts, L_light_off_ts, choices, performance, L_clicks, R_clicks, error_id, error_string, house_light_on_ts, R_reward_ts
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1   900801   904193   904306   904896   905037  2049860  2388256  2444811  2444972  2445088  2445217  2445323  2445428  2445536  2445674  2577551  2577658  2577767  2577915  2578124  2578248  2578358  2579596  2579708  2580001  2580109  2580213  2580464  2580781  2582294  2582407  2582512  2582637  2582753  2582882  2582990  2583099  2583229  2583356  2583491  2583619  2583748  2583889  2584023  2584154  2584293  2584431  2584581  2584725  2584903  2585049  2585197  2585351  2586212  2586348  2640051  2640161  2640269  2640397  2640550  2640665  2640799  2640932  2641037  2641176  2641287  2641394  2646870  2647307  2682236  2682345  2682574  2682679  2682785  2682912  2683285  2683397  2683501  2683642  2683780  2684454  2685200  2685763  2686137  2737999  2738109  2738217  2738332  2738443  2738554  2739206  2739999  2740461  2744320  2744443  2744580  2778152  2778304  2804564  2804670  2804780  2804907  2805101  2805487  2805601, 1   913648  2445952  2447101  2448323  2449932  2462659  2663130  2663249  2663622  2663752  2663910  2664043  2664180  2664320  2666168  2666613  2666802  2668914  2669034  2669187  2758628  2758823  2758943  2759088  2759208  2760013  2760343  2760735  2760875  2761054  2761200  2761780  2787713, 900131  2582070  2586567  2639742  2646496  2646923  2646998  2681718  2685025  2737697  2744173  2744871  2744914  2777825  2804294, 904172  2586524  2586653  2641344  2646526  2646974  2647203  2684460  2685165  2740468  2744750  2744890  2745154  2778330  2805777, 909017  2662792  2668486  2670965  2712108  2712233  2733325  2758217  2784789  2787635, 913633  2666444  2669384  2671232  2712172  2712478  2734174  2761755  2785377  2787651, 2586532, 2586542, 2586551, 2795080  2798255, 2795091, 2795104, 2795255  2795267, 2795624  2799021, 2795636, L, 2804319, 2804332, 2805777, 0, 0, 0, 0, 0, 2805784, 2805785, L1:R0, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2805803  2809760  2809880  2810001  2810749, 2817596, 2809508  2824901, 2810038, 2817307, 2817694, 2806883, 2806883, 2806884, 2820939  2822172, 2820941, 2820944, 2821095  2821098, 2821459  2822392, 2821463, L, 2824908, , , 1, 0, 0, 0, 1, 2824951, 2824956, L2:R0, 50.00, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, 203, wrong_choice_chose_L, 2824943, 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2825095  2825218  2830134  2830252  2830371  2866201  2866319  2939023  2944879, 2887211  2887328  2887544  2887684  2888369  2888564  2889029  2889966  2924599  2924773, 2829863  2833516  2865938  2957297, 2825246  2830355  2833589  2866296, 2886804  2888757  2888915  2889426  2922512  2922595  2923438  2923743, 2888747  2888793  2888928  2889620  2922559  2922686  2923650  2924815, 2825416, 2825417, 2825418, 2952473, 2952480, 2952488, 2952638  2952645, 2954079, 2954087, L, 2957313, , , 1, 0, 0, 0, 1, 2957394, 2957405, L3:R0, 33.33, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, 203, wrong_choice_chose_L, 2957382, 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2957608  2960122  2960712  2998323  2998438  2998587  2998808, 2986295  2986528  2986646  2987472  2987573  2987817, 2959848  2997677  2998210  3003479  3025057, 2957684  2960723  2997767  2998219  3003622, 2985945  3006087  3009950  3010007, 2987807  3006123  3009973  3010176, 2957944, 2957945, 2957946, 3019082, 3019087, 3019094, 3019245  3019251, 3022314, 3022320, L, 3025070, , , 1, 0, 0, 0, 1, 3025136, 3025144, L4:R0, 25.00, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, 203, wrong_choice_chose_L, 3025126, 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3025373  3025515  3027289  3027423  3027548  3028166  3070615  3070721  3097999  3098155  3224640  3224753  3224880  3225722  3226098  3226214  3227430  3227539  3227646  3227764  3227908  3228219, 3077521  3077658  3166774  3167812  3167928  3168159, 3027012  3070294  3070399  3097699  3097824  3124265  3224384  3225654  3225792, 3025542  3028164  3070316  3070848  3097743  3098243  3124396  3225057  3225706  3228193, 3076602  3076814  3166302  3166467, 3076711  3077629  3166403  3168411, 3025576, 3025577, 3025579, 3236536  3236915  3237476  3251150, 3236544, 3236554, 3236705  3236714, 3236723  3237017  3238449, 3236733, , , , , 1, 1, 0, 0, 0, 3251824, 3251836, L4:R0, 25.00, 000(1)1, 000(1)1, 204, no_go, 3251810, 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3278589  3278875  3279036  3282752  3282902  3283026  3283165  3283304  3284205  3284312  3284433  3284539  3284700  3284815  3284932  3285092  3285202  3285402  3285516  3285623  3286049  3286162  3286266  3286380  3286773  3286952  3287113  3287308  3287444  3287553  3287673  3287846  3287969  3288075  3288188  3288309  3289115  3337603  3337887  3340973  3341092  3377198  3377310  3377458  3377827, 3258190  3258836  3259022  3319763  3319890  3320007  3320184  3320848  3320983, 3278132  3282164  3282575  3283842  3284024  3337512  3376918  3377108  3382452  3411787, 3279021  3282316  3283340  3283993  3289077  3337955  3377044  3377586  3382551, 3257903  3319498  3324778, 3259877  3321149  3324793, 3252267, 3252267, 3252268, 3393011  3403601, 3393022, 3393035, 3393186  3393198, 3252208  3397690  3407815, 3397702, L, 3411813, , , 1, 0, 0, 0, 1, 3412055, 3412056, L5:R0, 20.00, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, 203, wrong_choice_chose_L, 3412051, 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3412147  3416262  3416423  3420546  3420794  3434682  3434801, , 3415990  3420311  3427371  3427692  3455326, 3412111  3416622  3420841  3427555  3427780, , , 3412594, 3412595, 3412596, 3449638, 3449641, 3449646, 3449797  3449800, 3452478, 3452482, L, 3455334, , , 1, 0, 0, 0, 1, 3455382, 3455388, L6:R0, 16.67, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, 203, wrong_choice_chose_L, 3455374, 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3455637  3508858  3509060  3509234  3509860  3511267  3511371  3511491  3511630  3511746  3511857  3515401  3515509  3515667  3516681  3516823  3517259  3517403  3517555  3517662  3518474  3518580  3518693  3518961  3519072  3519193  3519306  3519412  3519528  3519637  3519745  3519887  3520110  3520218  3520354  3520505  3520663  3524132  3524240  3524363  3525218  3525353  3525462  3525572  3525677  3526815, 3544535  3544739  3544936  3545078  3545200  3545337  3545465  3545593  3545732  3545867  3546009  3546153  3546295  3546449  3547015  3547179  3547281  3548148  3548276  3548437  3549514  3549776  3549930  3550095  3550799  3551142  3551942  3552046  3552145  3552298  3555739  3555909  3557184  3557286  3557449  3557628  3557747, 3455537  3508235  3508477  3508873  3508989  3523915, 3455478  3455753  3508362  3508825  3508971  3520716  3526344, 3543726, 3557901, 3455900, 3455901, 3455903, 3531071  3532133  3535439, 3531079, 3531089, 3531239  3531248, 3531262  3533257  3536594, 3531272, R, 3543746, , 3557903, 0, 0, 0, 0, 0, 3557916, 3557920, L6:R1, 28.57, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, , , , 3543756
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 3565237  3567306  3568415  3568519  3568743  3568917  3569221  3569360, 3578793, , 3562063  3565010  3565653  3566946  3569517, 3562757  3565596  3565695  3569482  3569567, 3558564, 3558565, 3558566, 3574380, 3574383, 3574389, 3574540  3574544, 3574554, 3574559, L, 3578802, , , 1, 0, 0, 0, 1, 3578852, 3578858, L7:R1, 25.00, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 000(1)1, 203, wrong_choice_chose_L, 3578844, 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3579026  3579140  3579248  3579467  3581223  3581333  3581455  3581572  3581686  3581815  3582210  3648668  3649375  3650731  3650842  3650952  3651075  3651188  3651337  3651455  3651722  3659660  3672822  3675785  3675929  3676095  3676226  3677060  3677234  3679425  3679540  3864201  3864328  3864464  3864577  3864685  3864796  3864950  3865092  3865244  3865382  3871002  3871139  3871291  3871396  3871609  3871755  3871891  3872065  3875394  3876010, 3690058  3690184  3690708  3690805  3690944  3691104  3691829  3723108  3723234  3723355  3724094  3724561  3724667  3724780  3724944  3755333  3755455  3755581  3755734  3756025  3761032  3761142  3761463  3761781  3762117  3762266  3762519  3763743  3776054  3776173  3776319  3777045  3777166  3777329  3781169  3784029  3784225  3784606  3784800  3787227  3788799  3791948  3792192  3792299  3804602  3805480  3808733  3811133  3811544  3812233  3815668  3815851  3817748, 3580980  3648444  3650529  3672516  3675764  3679310  3863810, 3579492  3582304  3649372  3651744  3672679  3677337  3679787  3876153, 3689631  3722945  3754832  3754962  3759372  3760833  3761225  3762137  3775184  3779374  3780417  3780885  3781031  3782182  3782543  3783333  3783821  3784182  3784906  3785664  3785765  3785870  3786522  3786838  3787249  3787488  3787691  3787907  3788124  3788326  3789669  3789870  3790024  3790441  3790881  3791287  3792688  3798687  3803351  3804650  3804994  3805186  3805444  3807612  3807921  3808773  3811157  3815225  3815361  3817479, 3691836  3725282  3754945  3756164  3760152  3761129  3761938  3764589  3777413  3779699  3780653  3780921  3782149  3782195  3782630  3783429  3784110  3784858  3785598  3785738  3785852  3786381  3786794  3787127  3787444  3787632  3787842  3788043  3788285  3789625  3789750  3789947  3790373  3790788  3791237  3792641  3792843  3798913  3804025  3804951  3805058  3805212  3805940  3807735  3807948  3808817  3812218  3815259  3816073  3817898, 3579493, 3579494, 3579496, 3860261, 3860264, 3860268, 3860419  3860422, 3861572, 3861577, L, 3863818, 3863823, 3876160, 0, 0, 0, 0, 0, 3876204, 3876213, L8:R1, 33.33, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 
