max_trials, mode, repeat_wrong, win_delays, lose_delays, L_win_L_delay, L_lose_L_delay, R_win_L_delay, R_lose_L_delay, R_win_R_delay, R_lose_R_delay, L_win_R_delay, L_lose_R_delay, odor1_id, odor1_delay, odor1_duration, odor2_id, odor2_delay, odor2_duration, tone_delay, tone_duration, tone_period, L_reward_id, L_reward_delay, L_reward_duration, L_reward_num, L_bolus_delay, R_reward_id, R_reward_delay, R_reward_duration, R_reward_num, R_bolus_delay, trial_delay, error_duration, odor_port_error, well_error, choice_error, odor_port_timeout, well_timeout, debounce_up, debounce_down_odor_port, debounce_down_well, rewarded_well, odor_port_timeout_stim, odor_port_on_stim, odor_port_off_stim, odor1_on_stim, odor1_off_stim, odor2_on_stim, odor2_off_stim, tone_on_stim, tone_off_stim, L_well_on_stim, L_well_off_stim, R_well_on_stim, R_well_off_stim, L_reward_on_stim, L_reward_off_stim, R_reward_on_stim, R_reward_off_stim, reward_on_stim, reward_off_stim, well_timeout_stim, odor_port_early_go_stim, well_early_go_stim, wrong_choice_stim, odor_port_timeout_stim_delay, odor_port_on_stim_delay, odor_port_off_stim_delay, odor1_on_stim_delay, odor1_off_stim_delay, odor2_on_stim_delay, odor2_off_stim_delay, tone_on_stim_delay, tone_off_stim_delay, L_well_on_stim_delay, L_well_off_stim_delay, R_well_on_stim_delay, R_well_off_stim_delay, L_reward_on_stim_delay, L_reward_off_stim_delay, R_reward_on_stim_delay, R_reward_off_stim_delay, reward_on_stim_delay, reward_off_stim_delay, well_timeout_stim_delay, odor_port_early_go_stim_delay, well_early_go_stim_delay, wrong_choice_stim_delay, L_lick_ts, R_lick_ts, L_well_all_on_ts, L_well_all_off_ts, odor_port_all_on_ts, odor_port_all_off_ts, R_well_all_on_ts, R_well_all_off_ts, trial_start_ts, R_light_on_ts, L_light_on_ts, odor_port_on_ts, tone_on_ts, tone_off_ts, odor_port_off_ts, well_id, well_on_ts, R_reward_ts, well_off_ts, error_flg, odor_port_timeout_flg, odor_port_early_go_flg, well_early_go_flg, wrong_choice_flg, R_light_off_ts, L_light_off_ts, choices, performance, L_clicks, R_clicks, error_id, error_string, house_light_on_ts
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1  236511  236647  236803  236975  241862  242129  242499  242621  242732  676750  676868  676996  677161  677274  677393  677514  677632  677746  677863  678048  678188  679279  686267, 1  248494  248650  496831  701929  702297  702420  702550  702681  702813  709952  710338  710988  711329  711467  711603  711750  712511  712620  712868  713790  714027  715206  715350  716395  716512  716826  716982  717341  718727  718861  719785  719893  720417  720600  720731  720863  721003  721229  722556  723200  723322  723543  723662  723825  723941  724117  725104  725511  725648  725835  725999  726677  726880  727037  727177  727316  727475  729027  729567  729756  729908  730730  731370  731502  732017  732966  733099  734133  734291  734631  734753  735772  736223  736390  737125  737600  737708  737847  738266  738401  740077  740234  740410  740567  740970  741085  746257  746364  746537  747017  747235  747961  748167  748285  758471  758583  758770  758887  759013  759143  763971  764694  764822  765059  765188  765736  765955  766156  766268  766400  766571  768167  768808  768943  769085, 241479  676474, 242760  686140, 246123  754135  755831  755996, 246941  754341  755976  756245, 247364  701336  722095  728483  730489  740575  745918  757922, 248640  721697  728054  730147  740523  741090  748335  769171, 686144, 686149, 686153, 754138, 754143, 754294, 754345, R, 757933, 757939, 769178, 0, 0, 0, 0, 0, 769228, 769238, L0:R1, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 777625  777749  777887  778100  778212  778361  778494  778639  778916  779029  779157  779291  779409  779543  779658  779780  779896  780009  780243  780378  780644  780761  780879  781346  782317  782467  783022  783186  783300  783414  783559  784794  785205  785366  785516  785648  790687  790823  790946  792394  792579  793001  793312, 769363  796528  796659, 777195  793057, 793046  793125, 799737, 800506, 796111  802079, 796929, 770409, 770410, 770411, 799744, 799752, 799902, 800514, R, 802094, , , 1, 0, 0, 0, 1, 802170, 802179, L0:R2, 50.00, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 202, wrong_choice_chose_R, 802159
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 806540  806652  806822  806956  807069  807193  807325, 802549  802661, 806340, 807331, 840181, 840351, 804137  841951, 802814  804332, 802814, 802817, 802818, 840183, 840187, 840338, 840354, R, 841957, , , 1, 0, 0, 0, 1, 841997, 842002, L0:R3, 33.33, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 202, wrong_choice_chose_R, 841990
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 842356  842494, , , 850081, 850390, 852171, 842589, 842589, 842591, 842592, 850082, 850084, 850235, 850392, R, 852175, , , 1, 0, 0, 0, 1, 852203, 852207, L0:R4, 25.00, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 202, wrong_choice_chose_R, 852197
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 858098  858210  869742  869860  869987  871714  871918  872042  872182, 852724  853152, 857890  858906  869634, 858164  859008  871892, 876101, 877877, 882984, 854135, 854135, 854137, 854138, 876104, 876108, 876259, 877881, R, 882993, , , 1, 0, 0, 0, 1, 883037, 883042, L0:R5, 20.00, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 202, wrong_choice_chose_R, 883028
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , 899214, 899743, 901430, 883378, 883426, 883427, 883427, 899215, 899217, 899368, 899745, R, 901433, , , 1, 0, 0, 0, 1, 901459, 901463, L0:R6, 16.67, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 202, wrong_choice_chose_R, 901453
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 902298, , , 912350, 913268, , 902286, 902286, 902287, 902288, 912351, 912353, 912504, 913270, , , , , 1, 1, 0, 0, 0, 928291, 928294, L0:R6, 16.67, 000(1)1, 000(1)1, 204, no_go, 928286
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , 948992, 951384, 953432, , 928663, 928663, 928664, 948993, 948994, 949145, 951385, R, 953435, , , 1, 0, 0, 0, 1, 953459, 953462, L0:R7, 14.29, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, 202, wrong_choice_chose_R, 953454
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , 1061648  1076129, 1062400  1076697, , 954052, 954052, 954053, 954054, 1061649, 1061651, 1061803, 1062402, , , , , 1, 1, 0, 0, 0, 1077426, 1077430, L0:R7, 14.29, 000(1)1, 000(1)1, 204, no_go, 1077421
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1112253  1112364  1112505  1112638  1112766  1113018  1114021  1114169  1115430  1128954  1129730  1129878  1130514  1130653, 1082968  1083395  1084319  1085388  1148519, 1112156  1113814  1128616  1129656  1130191  1130658, 1112968  1115418  1129048  1129790  1130398  1130686, 1167080, 1168483, 1082525  1139375  1147642  1148018, 1085733  1139726  1147924  1149218, 1077853, 1077854, 1077854, 1167086, 1167093, 1167244, 1168490, , , , , 1, 1, 0, 0, 0, 1183552, 1183560, L0:R7, 14.29, 000(1)1, 000(1)1, 204, no_go, 1183541
