max_trials, mode, repeat_wrong, win_delays, lose_delays, L_win_L_delay, L_lose_L_delay, R_win_L_delay, R_lose_L_delay, R_win_R_delay, R_lose_R_delay, L_win_R_delay, L_lose_R_delay, odor1_id, odor1_delay, odor1_duration, odor2_id, odor2_delay, odor2_duration, tone_delay, tone_duration, tone_period, L_reward_id, L_reward_delay, L_reward_duration, L_reward_num, L_bolus_delay, R_reward_id, R_reward_delay, R_reward_duration, R_reward_num, R_bolus_delay, trial_delay, error_duration, odor_port_error, well_error, choice_error, odor_port_timeout, well_timeout, debounce_up, debounce_down_odor_port, debounce_down_well, rewarded_well, odor_port_timeout_stim, odor_port_on_stim, odor_port_off_stim, odor1_on_stim, odor1_off_stim, odor2_on_stim, odor2_off_stim, tone_on_stim, tone_off_stim, L_well_on_stim, L_well_off_stim, R_well_on_stim, R_well_off_stim, L_reward_on_stim, L_reward_off_stim, R_reward_on_stim, R_reward_off_stim, reward_on_stim, reward_off_stim, well_timeout_stim, odor_port_early_go_stim, well_early_go_stim, wrong_choice_stim, odor_port_timeout_stim_delay, odor_port_on_stim_delay, odor_port_off_stim_delay, odor1_on_stim_delay, odor1_off_stim_delay, odor2_on_stim_delay, odor2_off_stim_delay, tone_on_stim_delay, tone_off_stim_delay, L_well_on_stim_delay, L_well_off_stim_delay, R_well_on_stim_delay, R_well_off_stim_delay, L_reward_on_stim_delay, L_reward_off_stim_delay, R_reward_on_stim_delay, R_reward_off_stim_delay, reward_on_stim_delay, reward_off_stim_delay, well_timeout_stim_delay, odor_port_early_go_stim_delay, well_early_go_stim_delay, wrong_choice_stim_delay, L_lick_ts, R_lick_ts, R_well_all_on_ts, R_well_all_off_ts, trial_start_ts, R_light_on_ts, L_light_on_ts, L_well_all_on_ts, L_well_all_off_ts, odor_port_all_on_ts, odor_port_on_ts, tone_on_ts, tone_off_ts, odor_port_all_off_ts, odor_port_off_ts, error_id, error_string, error_flg, odor_port_timeout_flg, odor_port_early_go_flg, wrong_choice_flg, well_early_go_flg, house_light_on_ts, R_light_off_ts, L_light_off_ts, choices, performance, L_clicks, R_clicks, well_id, well_on_ts, R_reward_ts, well_off_ts, L_reward_ts
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1964655  2002862  2002988  2003107  2003248  2003360  2003489  2003633  2003759  2003910  2004046  2004250  2005518  2005677  2005831  2005982  2006122  2006250  2006430  2006533  2006695  2006813  2006984  2007135  2007242  2007452  2007566  2007717  2007856  2007962  2008077  2008188  2008323  2008427  2008532  2008641  2008747  2008850, , 1960137  1962362  1973363  1975342  1977827  1980158  1982678  1992083  1994703  1996827  1999078, 1960445  1963131  1974248  1976174  1978563  1981355  1983872  1992547  1995307  1998134  1999723, 1958020, 1958021, 1958021, 1964409  1971830  2002683, 1964721  1972036  2008978, 2000225, 2000230, 2000236, 2000387  2000393, 2000404, 2000410, , , 0, 0, 0, 0, 0, , 2009058, 2009070, L1:R9, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, L, 2002696, , 2008989, 2002703
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2009328  2009439  2010068  2010174  2010329  2010618  2010767  2010880  2010988  2011199  2011304  2011457  2011715  2011834  2011937  2012214  2012401  2012541  2012643  2013162  2013308  2013444  2013607  2013713  2014117  2023820  2023930  2024071  2024266  2024380  2024895  2025084, , 2015959  2018834  2021229  2031478, 2017133  2019573  2022282  2036080, 2009846, 2009848, 2009849, 2009251  2009802  2009873  2009968  2023680, 2009512  2009825  2009948  2014110  2024872, 2030103, 2030110, 2030118, 2030269  2030276, 2030569, 2030577, , , 0, 0, 0, 0, 0, , 2036144, 2036154, L1:R9, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, R, 2031495, 2031503, 2036088, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2078576, , 2036294  2040317  2044264  2046803  2057708  2062298  2076827  2080036  2081969  2083938, 2036655  2041133  2044695  2048630  2057886  2063038  2077350  2080599  2082702  2088493, 2036718, 2036719, 2036720, 2078392, 2078697, 2083212, 2083216, 2083221, 2083372  2083377, 2083387, 2083392, , , 0, 0, 0, 0, 0, , 2088536, 2088543, L1:R9, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, R, 2083948, 2083954, 2088499, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , 2089963  2092333  2094834, 2091014  2093279  2100578, 2089256, 2089257, 2089259, , , 2094077, 2094078, 2094082, 2094233  2094235, 2094243, 2094245, , , 0, 0, 0, 0, 0, , 2100602, 2100606, L1:R9, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, R, 2094839, 2094842, 2100581, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2118718  2118836  2118970  2119326  2119756  2119864  2123342  2123525  2124323  2124434  2124568  2124672  2124812  2124990  2125144  2125253  2125358  2125471, , 2101633  2104255  2106520  2108233  2127535  2129964  2132632  2134116  2135930, 2102170  2105459  2107123  2108818  2128420  2130636  2133071  2134675  2139298, 2101043, 2101043, 2101044, 2118519  2119606  2122592  2122614  2124107, 2119054  2119809  2122601  2122801  2125418, 2135111, 2135118, 2135127, 2135278  2135285, 2135299, 2135307, , , 0, 0, 0, 0, 0, , 2139362, 2139372, L1:R9, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, R, 2135947, 2135955, 2139307, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , 2141128  2144689  2148293, 2142214  2145397  2152245, 2140150, 2140151, 2140152, , , 2146031, 2146032, 2146035, 2146186  2146188, 2147209, 2147211, , , 0, 0, 0, 0, 0, , 2152269, 2152273, L1:R9, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, R, 2148298, 2148301, 2152248, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2160387  2160501  2161571  2161701  2161835  2177239  2177352  2177717  2179492  2179602, , 2152333  2152818  2153058  2162932  2166170  2167735  2171102  2172442  2181227  2185447, 2152355  2152902  2154392  2164038  2166580  2168269  2171438  2173285  2181844  2190987, 2152710, 2152711, 2152712, 2160043  2161359  2177041  2179241, 2160674  2161853  2177641  2179647, 2184207, 2184213, 2184220, 2184371  2184378, 2184399, 2184407, , , 0, 0, 0, 0, 0, , 2191044, 2191053, L1:R9, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, R, 2185461, 2185469, 2190995, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , 2197014  2197080  2197995  2199745  2202277  2205247, 2197029  2197379  2198438  2200446  2203273  2208822, 2191900, 2191901, 2191902, , , 2204151, 2204153, 2204157, 2204308  2204311, 2204434, 2204437, , , 0, 0, 0, 0, 0, , 2208852, 2208859, L1:R9, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, R, 2205254, 2205258, 2208826, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , 2208931  2220637  2234608  2243250  2246893, 2209546  2220903  2235511  2245072  2250481, 2209668, 2209669, 2209670, 2237163, 2237194, 2246076, 2246078, 2246082, 2246233  2246236, 2246245, 2246248, , , 0, 0, 0, 0, 0, , 2250512, 2250518, L1:R9, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, R, 2246900, 2246904, 2250485, 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 120, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , 2252747  2254793  2257411, 2253526  2255591  2260722, 2251325, 2251326, 2251326, , , 2256548, 2256549, 2256552, 2256703  2256705, 2256713, 2256715, , , 0, 0, 0, 0, 0, , 2260747, 2260751, L1:R9, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, R, 2257416, 2257419, 2260725, 
