max_trials, mode, repeat_wrong, win_delays, lose_delays, L_win_L_delay, L_lose_L_delay, R_win_L_delay, R_lose_L_delay, R_win_R_delay, R_lose_R_delay, L_win_R_delay, L_lose_R_delay, odor1_id, odor1_delay, odor1_duration, odor2_id, odor2_delay, odor2_duration, tone_delay, tone_duration, tone_period, L_reward_id, L_reward_delay, L_reward_duration, L_reward_num, L_bolus_delay, R_reward_id, R_reward_delay, R_reward_duration, R_reward_num, R_bolus_delay, trial_delay, error_duration, odor_port_error, well_error, choice_error, odor_port_timeout, well_timeout, debounce_up, debounce_down_odor_port, debounce_down_well, rewarded_well, odor_port_timeout_stim, odor_port_on_stim, odor_port_off_stim, odor1_on_stim, odor1_off_stim, odor2_on_stim, odor2_off_stim, tone_on_stim, tone_off_stim, L_well_on_stim, L_well_off_stim, R_well_on_stim, R_well_off_stim, L_reward_on_stim, L_reward_off_stim, R_reward_on_stim, R_reward_off_stim, reward_on_stim, reward_off_stim, well_timeout_stim, odor_port_early_go_stim, well_early_go_stim, wrong_choice_stim, odor_port_timeout_stim_delay, odor_port_on_stim_delay, odor_port_off_stim_delay, odor1_on_stim_delay, odor1_off_stim_delay, odor2_on_stim_delay, odor2_off_stim_delay, tone_on_stim_delay, tone_off_stim_delay, L_well_on_stim_delay, L_well_off_stim_delay, R_well_on_stim_delay, R_well_off_stim_delay, L_reward_on_stim_delay, L_reward_off_stim_delay, R_reward_on_stim_delay, R_reward_off_stim_delay, reward_on_stim_delay, reward_off_stim_delay, well_timeout_stim_delay, odor_port_early_go_stim_delay, well_early_go_stim_delay, wrong_choice_stim_delay, L_lick_ts, R_lick_ts, L_well_all_on_ts, L_well_all_off_ts, odor_port_all_on_ts, odor_port_all_off_ts, R_well_all_on_ts, R_well_all_off_ts, trial_start_ts, R_light_on_ts, L_light_on_ts, odor_port_on_ts, tone_on_ts, tone_off_ts, odor_port_off_ts, well_id, well_on_ts, L_reward_ts, well_off_ts, error_flg, odor_port_timeout_flg, odor_port_early_go_flg, well_early_go_flg, wrong_choice_flg, R_light_off_ts, L_light_off_ts, choices, performance, L_clicks, R_clicks, R_reward_ts, error_id, error_string, house_light_on_ts
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1   214287   214556   214669   227631   227830   228440  7339357  7339527  7340292  7340887  7344622  7430294  7430427  7430546  7430665  7430790  7430904  7431035  7431157  7431279  7431420  7431575  7431716  7431841  7449560  7449698  7449812  7449924  7450035  7450183  7450297  7450493  7450608  7450732  7450859  7450982  7451112  7451228  7451354  7451481  7451604  7451720  7451875  7452001  7452114  7452242  7452371  7452509  7452683  7452794  7452960  7453093  7453230  7453347  7453494  7453632, 1  236687  237116  237374, 225754   226103   226463   226918  7430005  7432045  7449248, 225980   226325   226828   228405  7432028  7432209  7453621, 232456  7435031, 233392  7435216, 236296, 237386, 7433637, 7433644, 7433651, 7435037, 7435045, 7435196  7435203, 7435224, L, 7449264, 7449272, 7453644, 0, 0, 0, 0, 0, 7453720, 7453733, L1:R0, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7454021  7454155  7454290  7468575  7469790  7469916  7470040  7470164  7470288  7470425  7470570  7496391  7496607  7496759  7496869  7497003  7497135  7497435  7497561  7497672  7498846  7498966  7499132  7499739  7499859  7499974  7500103  7500248  7525961  7526087  7526281  7526761  7526873  7526986  7527146, 7473073  7473203  7473320  7473715  7473841  7473973  7474119  7474243  7474382  7474603  7474880  7477881  7478019  7478150  7478277  7478411  7478546  7478678  7478829  7478987  7479802  7480047  7480180  7480309  7480443  7480599  7480716  7480897  7481046  7482491  7482836  7482979  7483124  7483281  7483440  7484173  7484340  7484533  7490300  7490467  7490709  7490889  7491023  7491141  7491328  7494360  7494513  7494676  7494875  7521776  7522048  7522155  7522292  7531394  7531551  7531666  7531846  7531969  7532089  7532211  7532337  7532460  7532587  7532737  7532847  7533015  7533145  7533284  7533421  7534132  7534747  7535919  7536052  7536209  7536357  7536657  7537527  7537703  7537996  7538478  7538659  7538795  7538968  7539085  7539476  7540698  7540835  7540971  7541116  7541242  7541390  7541531  7541670  7541826  7541969  7542158  7543916  7544309  7544507  7544641  7545033  7545378  7545569  7545742  7545877  7546020  7546643  7546764  7546914  7547061  7547232  7547366  7547494  7547674  7547839, 7453919  7469330  7469373  7496408  7525811, 7454237  7469347  7470542  7500273  7527121, 7529535, 7529972, 7472666  7475764  7477099  7489909  7493721  7493860  7521402  7531018, 7475631  7477032  7484582  7491309  7493843  7494864  7522484  7547990, 7454873, 7454874, 7454875, 7529537, 7529540, 7529691  7529693, 7529975, R, 7531024, , 7548000, 0, 0, 0, 0, 0, 7548067, 7548079, L1:R1, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 7531027, , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7561048  7561163  7561285  7561398  7561515  7561873  7561996  7573687  7573801  7573921  7574190  7589985  7590133  7590297  7590557  7591339  7591451  7591575  7591697  7591814  7608903  7609024  7609147  7609260  7677488  7677601  7677724  7677850  7678074  7678188  7755942  7756089  7756235  7756755  7756941  7788936  7789081  7837818  7838044  7838155  7838295  7838485  7838608  7838722  7854303, 7575948  7576060  7576281  7576390  7576512  7577222  7577381  7577542  7577789  7578048  7578161  7578326  7584121  7584305  7584545  7584867  7585064  7585229  7587836  7588073  7588327  7588547  7679365  7679482  7679766  7679944  7680060  7680689  7783706  7783817  7784567  7787488  7791755  7791976  7792149  7792635  7792868  7854547  7855150, 7560815  7573513  7589824  7591203  7608705  7608982  7677240  7709913  7710223  7755760  7788731  7837593  7837903, 7562104  7574187  7590269  7591830  7608964  7609183  7678151  7710145  7710323  7756955  7789015  7837839  7838656, 7856166, 7856359, 7565116  7575711  7577810  7579813  7583673  7583948  7587220  7587283  7587425  7587828  7679141  7686201  7752164  7783384  7786244  7791464  7792931  7841348  7854285, 7565299  7577722  7578287  7580104  7583702  7585244  7587258  7587306  7587774  7588520  7680921  7686383  7752361  7786127  7787436  7792897  7792952  7841393  7855318, 7548743, 7548743, 7548744, 7856175, 7856184, 7856335  7856344, 7856368, , , , , 1, 1, 0, 0, 0, 7871448, 7871458, L1:R1, 100.00, 000(1)1, 000(1)1, , 204, no_go, 7871434
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7875422  7875916  7876029  7876153  7925958  7926154  7926489  7926611  7926757  7927120  7927240  7927369  7927482  7927657  7927794  7927991  7964317  7964950  7965061  7965209  7965359  7965483  7965620  7965747  7965897  7966192  7966337  7966454  7966578  7966698  7966825  7966965  7967088  7967226  7967384  7967498  7967637  7967777  7967917  7968060  7968199  7968338  7968476  7968619  7968766  7968906  7969056  7969197  7969326  7969473  7969608  7969737  7970342  7970477  7970590  7970717  7970837  7970987  7971310  7971432  7971581  7971725  7971863  7971985  7972154  7972308  7972434  7972550  7972665  7972781  7973160  7973310  7973471  7973617  7973768  7973890  7974072  7974238  7974354  7974513  7974627  7974742  7974868  7974980  7975093  7975204  7975335  7975460  7975574  7975699  7975823, 7877769  7922272  7922480  7922802  7923469  7948495  7948675  7948818  7949030  7949176  7949508, 7875677  7925797  7925991  7964083, 7876190  7925810  7927948  7975916, 7950517, 7951158, 7877488  7881712  7883085  7898952  7921963  7947558  7948865  7948935  7949056, 7877692  7881726  7884035  7899053  7923744  7948853  7948921  7949038  7949583, 7871987, 7871987, 7871988, 7950525, 7950534, 7950684  7950692, 7951167, L, 7964101, 7964110, 7975921, 0, 0, 0, 0, 0, 7975955, 7975961, L2:R1, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7976043  7976291  7976426  7976899  7977033  7977162  7977297  7977417  7977534  7977678  7977854  7978472  7978596  7978715  7978827  7978944  7979057  7979201  7979351  7979561  7979681  7979799  7979922  7980035  7980181  7980306  7980430  7981129  7981248  7981365  7981490  7981619  7981749  7981879  7982007  7982161  7982326  7982470  7982581  7982694  7982823  7982968  7983089  7983225  7983340  7986839  7986972  7987879  7988160  7988287  7989140  7989264  7989383  7989495  7989607  7989719  7989842  7998149  7998398  7998510  7998846  7999042  7999374  7999485  7999604  7999723  7999861  8000642  8000766  8000931  8002735  8002872  8003047  8003184  8003338  8003624  8003770  8003911  8004056  8005451  8005578  8005718  8005829  8005978  8006109  8006220  8006360  8006481  8006604  8006747  8006873  8007044  8007159  8007273  8007403  8007552  8007932  8008064  8008199  8008368  8008967  8009816  8009946  8010103  8010237  8010356  8010468  8010604  8011539  8011928  8012083  8012227  8012356  8012468  8012599  8012716  8012875  8013010  8013176  8013613  8013769  8014174  8014409  8014526  8014639  8014753  8016834  8017252  8017381  8017553  8017740  8017868  8018040  8018634  8018752  8018877  8019004  8044788  8044917  8045095  8045208  8045400  8045531  8045667  8046048  8046162  8046309  8046471  8046603  8046733  8046853  8047001  8060478  8060903  8061541, 8020324  8020496  8020648  8021061  8021186  8021490  8021633  8021773  8022280  8033806  8034366  8034944  8035073  8035210  8070302, 7976143  7986674  7997991  8017055  8044718, 7983382  7989803  8014686  8018961  8047042, 8068694, 8068891, 7997007  8019838  8033570  8070187, 7997330  8022220  8035164  8070432, 7983388, 7983394, 7983400, 8068704, 8068715, 8068865  8068875, 8068901, R, 8070208, , 8070445, 0, 0, 0, 0, 0, 8070517, 8070531, L2:R2, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 8070220, , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8103307  8103453  8103564  8103681  8104009  8104139  8104456  8104632  8171624  8171748  8171865  8172290  8172420  8172736  8172868  8173622  8175845  8176006  8176136  8176256  8176412  8176527  8176803  8176930  8177060  8177190  8177304  8187590  8187708  8187826  8187941  8188058  8188430  8188595  8189462  8190992  8191148  8191389, 8073103  8073239  8073349  8073464  8073581  8073697  8073820  8073964  8074086  8074220  8074346  8074475  8074611  8075155  8075290  8076675  8078867  8078977  8081807  8081935  8082082  8082684  8082826  8082981  8083429  8083537  8083694  8083856  8084400  8084514  8084699  8090113  8090544  8090761  8090976  8142340  8142546  8142752  8142917  8185576  8186045  8193883  8194042  8194159  8194279  8194399  8194530  8194650  8194767  8194890  8195018  8195144  8195276  8195406  8195546  8195816  8195943  8196361  8199469  8199614  8199901  8200119  8200266, 8103090  8171437  8173204  8173286  8175678  8175926  8176274  8181105  8187387  8190852, 8104583  8172966  8173236  8173633  8175901  8176231  8177251  8181131  8188673  8191186, 8191716, 8191938, 8072622  8085260  8089910  8090260  8106181  8106259  8141093  8169174  8185335  8193538, 8085023  8085776  8090139  8090966  8106216  8106296  8143464  8169302  8186101  8200568, 8071168, 8071169, 8071169, 8191719, 8191723, 8191874  8191878, 8191942, R, 8193546, , 8200576, 0, 0, 0, 0, 0, 8200622, 8200630, L2:R3, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 8193551, , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8221412  8221611  8221809  8221931  8222049  8222686  8241792  8241924  8242172  8242290  8288626  8288747  8288870  8288988  8289163  8289281  8289434  8289704  8290513  8292700  8292889  8293676  8293817  8293928  8294060  8294172  8294291  8294427  8294560  8294685  8294807  8294923  8295375  8295566  8295926  8296216  8296359  8296503  8296639  8296758  8296886  8297040  8297212  8297342  8297937  8298077  8298274  8298394  8298526  8298658  8299658  8299810  8299951  8300103  8300371  8322530  8322656  8322818  8322978  8323139  8323284  8323447  8323600  8335322  8335555  8335674  8335816  8336004  8336222  8336371  8336486  8336635  8336768  8336890  8337020  8338282  8338423  8346314  8346530  8346662  8346792  8355698  8355809  8355938  8356049  8375992  8376123  8376251  8376568  8376765  8377736  8381163  8381362  8381491  8381604  8381726  8381843  8381957  8382077  8382193  8382310  8382425  8382547  8382753  8382880  8383017  8383144  8383410  8383676  8383812  8384754  8386092  8386240  8386361  8386501  8386628  8386740  8386877  8386991  8387116  8387262  8387384  8387915, 8201046  8201361  8201695  8201805  8202278  8202429  8202591  8202731  8203098  8203245  8203889  8204024  8204246  8204804  8204976  8218263  8218409  8218560  8240205  8240328  8240695  8301767  8301939  8302166  8302361  8302674  8302812  8304921  8305664  8308193  8308329  8309037  8309693  8310153  8310533  8310674  8310905  8311067  8311206  8311711  8311950  8312337  8313148  8313288  8313412  8313736  8313944  8314105  8314269  8325504  8325755  8325891  8326076  8326302  8326449  8326558  8326855  8326999  8327173  8341984  8342173  8342283  8342420  8342839  8342985  8343223  8343550  8347699  8349455  8350130  8373818, 8221470  8222589  8241632  8288437  8297792  8300148  8322426  8335283  8336976  8338078  8346091  8355519  8375753  8378701  8378740  8380981, 8222086  8222603  8242540  8297323  8300088  8300300  8323631  8336960  8336993  8338462  8346779  8355999  8376565  8378720  8378750  8387961, 8379704, 8380072, 8200748  8205178  8205221  8205378  8205437  8205916  8210051  8212159  8212838  8217453  8239960  8301539  8314354  8325210  8327354  8341727  8347429  8348946  8373136, 8205140  8205211  8205358  8205405  8205891  8206045  8210191  8212237  8213063  8218554  8240655  8314290  8314610  8327228  8327953  8343587  8347957  8350208  8373917, 8205143, 8205146, 8205149, 8379708, 8379714, 8379865  8379870, 8380078, L, 8380992, 8380998, 8387971, 0, 0, 0, 0, 0, 8388033, 8388043, L3:R3, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8388194  8388840  8388990  8389843  8390177  8390296  8402693  8402814  8403102  8403216  8403365  8403481  8403595  8403733  8403849  8445770  8445993  8446104  8446229  8525006  8525137  8525343  8525455  8525593  8525740  8525898  8526027  8526198  8538339  8538468  8538605  8538736  8539030  8539163  8539416, 8392478  8392862  8393041  8393195  8404819  8404928  8405524  8405724  8406513  8447132  8447418  8487018  8523313  8523446  8537034  8541071  8541248  8541364  8541479  8541599  8541741  8541872  8541999  8543852  8544119  8544484  8544676  8544880  8545099, 8388198  8389708  8402429  8402550  8445526  8524851  8538196, 8388860  8390312  8402442  8403766  8446218  8526215  8539153, 8539640, 8539843, 8392227  8404646  8446916  8486714  8522549  8536765  8540667, 8393198  8406530  8447517  8487444  8523454  8537364  8545462, 8388861, 8388862, 8388864, 8539652, 8539663, 8539814  8539826, 8539854, R, 8540692, , 8545463, 0, 0, 0, 0, 0, 8545472, 8545475, L3:R4, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 8540704, , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8561753  8561881  8562009  8562137  8562325  8562522  8565455  8565580  8565707  8565827  8572082  8572212  8572327  8572550  8572675  8572985  8573223  8573338  8573469  8573579, 8547245  8547473  8547642  8547907  8548053  8548826  8548941  8550078  8550595  8550963  8551079  8551215  8551427  8551559  8552133  8552868  8553022  8554862  8554996  8555122  8556412  8556545  8556966  8557177  8557350  8566835  8567028  8569309  8569483  8569727  8569971  8570144  8570367  8571077  8576911  8577143  8577258  8577378  8577497  8577637  8577755  8577883  8582105  8582539  8582678  8582855  8583043  8583150  8583357  8583488  8583732  8584131  8584249  8584621  8584733  8585414  8585568  8585703  8585957  8586208, 8561548  8565239  8571898  8572286  8572376, 8562467  8565850  8572229  8572303  8573481, 8575128, 8575337, 8545518  8546893  8552976  8553084  8553673  8554018  8554104  8566643  8568142  8568390  8569114  8570595  8576588, 8545585  8552962  8553019  8553183  8553973  8554045  8557417  8567390  8568192  8568655  8570402  8570651  8586277, 8546058, 8546059, 8546060, 8575140, 8575154, 8575305  8575318, 8575351, R, 8576589, , 8586281, 0, 0, 0, 0, 0, 8586309, 8586314, L3:R5, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 8576590, , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 200, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 8586381  8587961  8588438  8595591  8596127  8596250  8596374  8596496  8596621  8596743  8599156  8599892  8600025  8600726  8603305  8603443  8603560  8604045  8604184  8604573  8604725  8604851  8605039  8605871  8606005  8606136  8606273  8606384  8606563  8606740  8607482  8607629  8607750  8608044  8608245  8608421  8608733  8608871  8609060  8609424  8609535  8609646  8610067  8610317  8610504, , , 8589972, 8590138, 8587682  8595345, 8588493  8611069, 8586913, 8586914, 8586915, 8589973, 8589977, 8590128  8590130, 8590140, R, 8595350, , 8611077, 0, 0, 0, 0, 0, 8611128, 8611137, L3:R6, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 8595354, , , 
