max_trials, mode, repeat_wrong, win_delays, lose_delays, L_win_L_delay, L_lose_L_delay, R_win_L_delay, R_lose_L_delay, R_win_R_delay, R_lose_R_delay, L_win_R_delay, L_lose_R_delay, odor1_id, odor1_delay, odor1_duration, odor2_id, odor2_delay, odor2_duration, tone_delay, tone_duration, tone_period, L_reward_id, L_reward_delay, L_reward_duration, L_reward_num, L_bolus_delay, R_reward_id, R_reward_delay, R_reward_duration, R_reward_num, R_bolus_delay, trial_delay, error_duration, odor_port_error, well_error, choice_error, odor_port_timeout, well_timeout, debounce_up, debounce_down_odor_port, debounce_down_well, rewarded_well, odor_port_timeout_stim, odor_port_on_stim, odor_port_off_stim, odor1_on_stim, odor1_off_stim, odor2_on_stim, odor2_off_stim, tone_on_stim, tone_off_stim, L_well_on_stim, L_well_off_stim, R_well_on_stim, R_well_off_stim, L_reward_on_stim, L_reward_off_stim, R_reward_on_stim, R_reward_off_stim, reward_on_stim, reward_off_stim, well_timeout_stim, odor_port_early_go_stim, well_early_go_stim, wrong_choice_stim, odor_port_timeout_stim_delay, odor_port_on_stim_delay, odor_port_off_stim_delay, odor1_on_stim_delay, odor1_off_stim_delay, odor2_on_stim_delay, odor2_off_stim_delay, tone_on_stim_delay, tone_off_stim_delay, L_well_on_stim_delay, L_well_off_stim_delay, R_well_on_stim_delay, R_well_off_stim_delay, L_reward_on_stim_delay, L_reward_off_stim_delay, R_reward_on_stim_delay, R_reward_off_stim_delay, reward_on_stim_delay, reward_off_stim_delay, well_timeout_stim_delay, odor_port_early_go_stim_delay, well_early_go_stim_delay, wrong_choice_stim_delay, L_lick_ts, R_lick_ts, trial_start_ts, R_light_on_ts, L_light_on_ts, R_well_all_on_ts, R_well_all_off_ts, L_well_all_on_ts, L_well_all_off_ts, odor_port_all_on_ts, odor_port_on_ts, tone_on_ts, tone_off_ts, odor_port_all_off_ts, odor_port_off_ts, error_id, error_string, error_flg, odor_port_timeout_flg, odor_port_early_go_flg, wrong_choice_flg, well_early_go_flg, house_light_on_ts, R_light_off_ts, L_light_off_ts, choices, performance, L_clicks, R_clicks, well_id, well_on_ts, L_reward_ts, well_off_ts
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1  2218871  2219034  2314527  2314766, 1  2219859  2346997  2347114  2347220  2347341  2347445  2347579  2347679  2347922  2348095  2348376  2348490  2351409  2351513  2351611, 2220393, 2220394, 2220395, 2312306  2346067  2346524  2346723  2351156  2351291, 2312421  2346212  2346653  2348700  2351257  2351916, 2314661  2314921, 2314893  2314984, 2355085, 2355091, 2355098, 2355249  2355255, 2355923, 2355931, 204, no_go, 1, 1, 0, 0, 0, 2370982, 2370994, 2371002, L0:R0, 0.00, 000(1)1, 000(1)1, , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2373943  2377895  2402287  2402430, , 2372480, 2372481, 2372482, 2371652, 2371710, 2377687  2398074  2398168  2398361, 2377712  2398104  2398231  2398533, 2402675, 2402678, 2402682, 2402833  2402836, 2403319, 2403323, 204, no_go, 1, 1, 0, 0, 0, 2418355, 2418362, 2418367, L0:R0, 0.00, 000(1)1, 000(1)1, , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2426101  2444299  2444406  2444632  2445381  2445510  2445662  2445923  2446364  2446474  2446651  2446898  2447047  2447175  2477370  2478065  2478172  2478292  2478403  2478514  2478633  2478741  2478873  2478989  2479094  2479217  2479331  2479442  2479555  2479664  2479773  2479905  2480024  2480162  2480303  2480410  2480573  2480678  2480794  2480910  2481036  2481181  2481318  2481425  2481541  2481652  2481813  2481970  2482155  2482308  2482420  2482541  2482706  2482888  2483039  2483195  2483307  2483439  2483548  2483707  2483878  2484025  2484144  2484322  2484596  2484701  2484866  2516608  2516809  2516923  2517031  2517144  2517294  2517445  2517551  2517656  2517778  2517947  2518225  2518605  2536091  2557658  2557764  2557872  2558121  2563377  2585524  2585713  2585825  2585931  2586061  2586200  2658980  2659095  2659218  2659330  2659452  2659557, 2526226  2526415  2526820  2526998  2527142  2528975  2529183  2549818  2549929  2550181  2550438  2550592  2550755  2550864  2551012  2615228  2615553  2615838  2615946  2616069  2616681  2616787  2616894  2617013  2617122  2617236  2617434  2617703  2624100  2624271  2624460, 2418710, 2418711, 2418712, 2526033  2549281  2549441  2553806  2613321  2613423  2614333  2615030  2623684  2624602, 2529414  2549398  2551028  2554034  2613389  2613790  2614612  2617694  2624427  2624632, 2421271  2421599  2426013  2426391  2444495  2444834  2444999  2445103  2477980  2484352  2516490  2516639  2557529  2561103  2585203  2585324  2626659  2629694  2658834, 2421352  2421734  2426050  2426399  2444687  2444864  2445056  2447137  2484333  2484954  2516595  2518164  2557940  2561171  2585306  2586503  2626683  2629836  2659513, 2665399, 2665411, 2665424, 2665575  2665587, 2665607, 2665620, 204, no_go, 1, 1, 0, 0, 0, 2680833, 2680837, 2680838, L0:R0, 0.00, 000(1)1, 000(1)1, , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2687322  2687605  2687722  2687828  2692564  2692822  2692976  2693081  2693200  2693310  2693509  2693625  2693733  2693855  2694049  2694181  2694298  2694418  2694548  2694683  2694810  2694925  2695040  2695176  2695366  2695520  2695650  2695778  2695917  2696067  2696172  2696334  2696459  2696571  2696680  2696822  2696973  2697119  2697277  2697421  2697559  2697668  2697775  2697884  2697991  2698116  2698261  2698372  2698520  2698626  2698742  2698855  2699044  2699160  2699316  2699448  2699556  2699661  2699768  2699876  2700019  2700188  2700361  2700530  2700642  2700850  2700977  2701087  2701244  2701355  2705468  2750257  2750467  2750589  2750696  2750836  2750951  2751397  2758833  2758962  2759070  2759177  2759286  2759419  2759574  2759685  2759904  2760030  2791422  2791533  2791645  2791755  2791863  2791975  2792105  2792279  2792402  2792530  2792645  2799474  2799585  2799703  2799808  2799922  2800039  2800148  2800253  2800409  2800550  2800676  2800781  2800900  2801073  2801185  2801325  2801462  2801600  2801731  2801865  2801999  2802129  2802263  2802410  2802555  2802686  2802793  2802907  2803061  2803181  2803292  2803398  2803528  2803664  2803799  2803903  2804069  2804235  2804407  2804580  2804758  2804874  2805000  2805112  2805248  2805417, 2689042  2726673  2726834  2727240  2727358  2727489  2727623  2727751  2727881  2728559  2728721  2729763  2730242  2730406  2730577  2734071  2755788  2755959  2756152  2756324, 2681350, 2681351, 2681352, 2726278  2730787  2731691  2733371  2754506, 2730770  2731071  2732062  2734016  2756577, 2692643  2750155  2758710  2765784  2777444  2777583  2791279  2799184, 2701328  2750984  2759822  2765793  2777549  2777633  2792598  2805536, 2797514, 2797519, 2797527, 2797678  2797684, 2797954, 2797960, , , 0, 0, 0, 0, 0, , 2805625, 2805639, L1:R0, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, L, 2799198, 2799205, 2805549
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2805812  2806009  2808003  2809999  2846836  2846941  2847068  2847207  2847320  2847429  2847589  2847698  2847818  2847996  2848103  2848223  2848380  2848487  2848595  2848874  2848986  2849091  2849268  2849434  2849545  2849654  2849819  2849927  2850321  2850465  2850642  2850806  2851060  2851169  2851334  2851445  2852027  2852219  2871846  2872160  2872272  2872410  2872520, 2820864  2837039  2837203  2837387  2841084  2841347, 2806388, 2806389, 2806390, 2820199  2820350  2836253  2840419  2840574  2841948, 2820237  2821146  2837486  2840437  2841315  2842071, 2846700  2871418  2871967, 2852251  2871453  2872582, 2875890, 2875899, 2875911, 2876062  2876072, 2876134, 2876144, 204, no_go, 1, 1, 0, 0, 0, 2891222, 2891235, 2891247, L1:R0, 100.00, 000(1)1, 000(1)1, , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2949743  2949860  2949965  2950071  2950179  3023982  3024171  3024283  3024391  3024495  3024620  3024739  3024884  3025030  3025142  3025306  3073086  3073206  3073364  3073469  3073602  3073717  3073823  3073983  3074089  3075732  3153283  3153537  3153641  3153805  3153909  3154018  3154136  3154248  3154526  3154723  3154836  3154953  3155107  3155236  3155540  3155787  3160709  3171486  3171709  3172718  3172829  3172957  3173090  3173210  3173319, 2908832  2909024  2944121, 2891757, 2891758, 2891759, 2908194  2943407  3058697  3063267  3067681  3100751  3101748  3102709, 2908994  2944345  3059524  3063278  3067826  3100773  3102106  3103414, 2949592  3024037  3073218  3088759  3105428  3106217  3153506  3171412  3172552  3174239  3177103  3180270, 2950152  3025386  3074117  3088998  3105699  3106298  3155774  3171698  3173356  3175324  3177856  3180467, 3179602, 3179616, 3179787, 3179938  3179939, 3179951, 3179952, , , 0, 0, 0, 0, 0, , 3180482, 3180485, L2:R0, 100.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, L, 3180272, 3180274, 3180469
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3180554, , 3181184, 3181185, 3181186, , , , , 3259874, 3259875, 3259877, 3260028  3260029, 3260038, 3260040, 204, no_go, 1, 1, 0, 0, 0, 3275058, 3275063, 3275067, L2:R0, 100.00, 000(1)1, 000(1)1, , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 150, 1, 0, 1, 0, 200, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
