max_trials, mode, repeat_wrong, win_delays, lose_delays, L_win_L_delay, L_lose_L_delay, R_win_L_delay, R_lose_L_delay, R_win_R_delay, R_lose_R_delay, L_win_R_delay, L_lose_R_delay, odor1_id, odor1_delay, odor1_duration, odor2_id, odor2_delay, odor2_duration, tone_delay, tone_duration, tone_period, L_reward_id, L_reward_delay, L_reward_duration, L_reward_num, L_bolus_delay, R_reward_id, R_reward_delay, R_reward_duration, R_reward_num, R_bolus_delay, trial_delay, error_duration, odor_port_error, well_error, choice_error, odor_port_timeout, well_timeout, debounce_up, debounce_down_odor_port, debounce_down_well, rewarded_well, odor_port_timeout_stim, odor_port_on_stim, odor_port_off_stim, odor1_on_stim, odor1_off_stim, odor2_on_stim, odor2_off_stim, tone_on_stim, tone_off_stim, L_well_on_stim, L_well_off_stim, R_well_on_stim, R_well_off_stim, L_reward_on_stim, L_reward_off_stim, R_reward_on_stim, R_reward_off_stim, reward_on_stim, reward_off_stim, well_timeout_stim, odor_port_early_go_stim, well_early_go_stim, wrong_choice_stim, odor_port_timeout_stim_delay, odor_port_on_stim_delay, odor_port_off_stim_delay, odor1_on_stim_delay, odor1_off_stim_delay, odor2_on_stim_delay, odor2_off_stim_delay, tone_on_stim_delay, tone_off_stim_delay, L_well_on_stim_delay, L_well_off_stim_delay, R_well_on_stim_delay, R_well_off_stim_delay, L_reward_on_stim_delay, L_reward_off_stim_delay, R_reward_on_stim_delay, R_reward_off_stim_delay, reward_on_stim_delay, reward_off_stim_delay, well_timeout_stim_delay, odor_port_early_go_stim_delay, well_early_go_stim_delay, wrong_choice_stim_delay, L_lick_ts, R_lick_ts, L_well_all_on_ts, L_well_all_off_ts, trial_start_ts, R_light_on_ts, L_light_on_ts, R_well_all_on_ts, R_well_all_off_ts, odor_port_all_on_ts, odor_port_on_ts, tone_on_ts, tone_off_ts, odor_port_all_off_ts, odor_port_off_ts, error_id, error_string, error_flg, odor_port_timeout_flg, odor_port_early_go_flg, wrong_choice_flg, well_early_go_flg, house_light_on_ts, R_light_off_ts, L_light_off_ts, choices, performance, L_clicks, R_clicks, well_id, well_on_ts, R_reward_ts, well_off_ts
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1  687308  687424  687535  719251  841885  841994  842098  842201  842301  842408  842517  842618  842724  842833  842939  843047  843208  843369  843575  843712  843848  844020  844151  844285  844423  844534  844682  844808  844949  845091  845240  845452  845559  845672, 1, 841594  872912, 845694  872955, 845699, 845704, 845709, 853454, 853498, 907777  908233  908362  908640  908788, 907782, 907789, 907940  907947, 907959  908292  908617  908761  908894, 907965, 204, no_go, 1, 1, 0, 0, 0, 923025, 923036, 923045, L0:R0, 0.00, 000(1)1, 000(1)1, , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1015644  1015756  1015901  1016010  1016155  1016269  1016475  1016577  1016696  1016802  1016928  1017054  1017181  1017362  1018535  1079920  1080096  1080203  1080302  1080435  1080571  1080713  1080838  1081009  1081137  1081274  1081408  1081535  1081775  1082044  1082162  1082331  1082431  1082573  1082715  1082871  1083036  1083185  1083343  1083508  1083737  1083845  1084105  1084208  1084350  1084500  1084617  1084770  1084893  1085040  1085147  1085288  1085576  1093110  1093217  1093356, 1028870  1028978  1029089  1029199  1029304  1029551  1029706  1029809  1029916  1030030  1030215  1030462  1030595  1030836  1030964  1031094  1031224  1031415  1031643  1031785  1031932  1032075  1032212  1032346  1032591  1032706  1032832  1032984  1033128  1033466  1033573  1033803  1034241  1034345  1034506  1034619  1035164  1035305  1035418  1035545  1035712  1035895  1036050  1036204  1036894  1037048  1037429  1037728  1037876  1037980  1038277  1038383  1043946  1044253  1044390  1044505  1044694  1044861  1044971  1045118  1045275  1045385  1045513  1098537  1098714  1098868  1099009  1099181  1099283  1099402, 941887  1015299  1079678  1079730  1092901, 941937  1018005  1079712  1085230  1093368, 923988, 923990, 923990, 1028581  1043647  1045787  1098138  1099530, 1038464  1045720  1045823  1099474  1099566, 1100753, 1100758, 1100765, 1100916  1100922, 1100934, 1100940, 204, no_go, 1, 1, 0, 0, 0, 1115990, 1116000, 1116008, L0:R0, 0.00, 000(1)1, 000(1)1, , , , 
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1131222  1131361  1131496  1131597  1131718  1218987  1219099  1219208  1219309  1219411  1219554  1219696  1219810  1219927  1220076  1260007  1260135  1280877  1280978  1281080  1281749  1281916  1282124  1303494  1304143  1304514  1369442  1369601  1369813  1369968  1370082  1370212  1370441  1370561  1370699  1370830  1370955  1371073  1371178  1371297  1371397  1371506  1371628  1371768  1371906  1372022  1372176  1372320  1372473  1372625  1372854  1372990  1373105  1373204  1373345  1373466  1373567  1373699  1373802  1373962  1374317  1374455  1374556  1374663  1374770  1374870  1375005  1375120  1375267  1375403  1375511  1375667  1375767  1375869  1375985  1376094  1376202  1378957  1379060  1379162  1379262  1379374  1379521  1379639  1379798  1386364  1386473  1386595  1386743  1386846  1386975  1387078  1387189  1387329  1387430  1387530  1387676  1387803  1387943  1388063  1388188  1388355  1440391  1440490  1440591  1440699  1440948  1441139  1441274  1441423  1441590  1441769  1441875  1441978  1442236  1442380  1442489  1442596  1442742  1442845  1442953  1443174  1443277  1443521  1443699  1483855  1483975  1484085  1484223  1484362  1484467  1484570  1484682  1484786  1484892  1485000  1485101  1485244  1485363  1485468  1485574  1485729  1485834  1485953  1486075  1486239  1486339  1486442  1486542  1486677  1486781  1486887  1486991  1487132  1487244  1487450  1487642  1487885  1488254  1488356  1488476  1488608  1488712  1488914  1489039  1489165  1489282  1590591  1590761  1590985  1609154  1609271  1609381  1609484  1609586  1609704  1609805  1609941  1610236  1610979  1630556  1636448  1665025  1665169  1665299  1665416  1665531  1665681  1665794  1665966  1666082  1666195  1666332  1666435  1666539  1666645  1666885  1666985  1667120  1667220  1667386  1667490  1667637  1667736  1667897  1668007  1668129  1668267  1668371  1668488  1668644  1668806  1668923  1669030  1669142  1669373  1669514  1669653  1669797  1669947  1670109  1670262  1670409  1670566  1670721  1670873  1671004  1671118  1671218  1671374  1671477  1671610  1671752  1671915  1672082  1672401  1672569  1672804  1672905  1673121  1673225  1673328  1673470  1673657  1673801  1673911  1674027  1674174  1674337  1674514  1674667  1674831  1675008  1675127  1675272  1675437  1675550  1675682  1675793  1675907  1676101  1676216  1676325  1676442  1676571  1676671  1676801  1676921  1677052  1677169  1677269  1677390  1677524  1677692  1677896  1678061  1678162  1678277  1678385  1678496  1678882  1678994  1679102  1679259  1679433  1679534  1679667  1679768  1680167  1680383  1680511  1680679  1681152  1681256  1681356  1681543  1682390  1682490  1682613  1682794  1682945  1683067  1683180  1683288  1683449  1683575  1691091  1691214  1691322  1691453  1691555  1691720  1691877  1691978  1692130  1692277  1692616  1725128  1725250  1725374  1725600  1725702  1725801  1725906  1726021  1726123  1726320  1726422  1726590  1726720  1726855  1726997  1727102  1727202  1727304  1727553  1727686  1727825  1727968  1728071  1785323  1785428  1785532  1785642  1785743  1785879  1802558  1802663  1802767  1802877  1802996  1803100  1859819  1859928  1860037  1860151  1860265  1860381  1860486  1860591  1860704  1860817  1860922  1861033  1861156  1861267  1861415  1861565  1861744  1861875  1862006  1862117  1862260  1862396  1868051  1868156  1884597  1884760  1884884  1884994  1885118  1885258  1885360  1926453  1926570  1926723  1926875  1926979  1927118  1927230  1927383  1927597  1927717  1927842  1927943  1928086  1928188  1952999  1953099  1953228  1988233  1988357  1988463  1988584  1988702  1988813  1988923  1989029  1989158  1989314  1989419  1989547  1989670  1989810  1989931  1990032  1990155  1990488  1990634, 1128380  1128485  1128668  1128771  1128948  1201453  1201575  1201679  1201819  1201995  1202168  1287759  1287860  1288063  1288231  1288341  1288461  1288564  1288678  1288799  1288903  1289178  1289289  1289398  1289503  1289689  1289965  1400357  1400577  1400828  1401015  1401283  1401417  1401580  1401738  1402025  1402146  1402282  1402435  1402538  1402666  1402771  1402879  1403014  1403182  1403334  1403478  1403618  1403766  1403916  1404079  1404229  1404381  1404523  1404669  1404815  1404967  1405150  1405387  1405506  1405626  1405997  1406121  1406250  1406375  1406479  1406585  1406829  1406933  1407203  1407374  1417703  1417813  1417926  1418084  1418280  1418480  1418623  1418978  1419086  1419219  1419363  1419479  1419649  1419800  1419991  1420104  1420300  1420613  1420716  1420819  1420950  1469965  1470106  1470214  1470366  1470533  1470706  1470885  1470995  1471099  1471216  1471365  1471472  1548068  1548171  1548279  1548388  1548557  1548664  1548787  1548908  1549022  1549174  1549401  1549503  1549658  1573095  1573203  1573308  1573674  1573824  1574008  1574139  1574295  1574440  1574619  1574803  1574924  1575030  1575143  1575340  1575458  1575588  1575707  1575822  1605201  1605327  1605503  1605634  1605736  1641332  1641507  1641616  1641740  1641900  1642033  1642157  1642291  1642427  1642565  1642693  1642821  1643026  1643288  1644207  1644824  1644929  1645068  1645276  1645407  1645562  1645700  1645812  1645936  1646270  1646375  1646560  1646708  1647112  1647691  1647861  1648117  1648294  1648458  1648663  1648831  1648946  1649055  1649191  1649300  1649727  1650200  1650470  1650606  1650709  1650950  1651055  1651254  1651374  1651493  1651645  1651761  1651866  1652016  1652405  1652996  1653312  1653426  1653536  1653690  1653800  1653953  1654158  1654355  1654509  1654642  1654799  1655156  1655275  1662671  1697939  1698097  1698242  1698400  1698516  1698642  1698776  1698924  1699117  1699229  1699508  1699638  1699997  1700167  1700388  1715743  1715848  1715963  1716114  1736435  1736554  1736665  1736770  1736951  1737054  1737271  1737422  1737537  1737683  1737846  1738013  1738167  1738333  1738471  1738578  1738691  1739023  1739138  1739241  1739444  1739550  1739672  1739942  1740233  1740342  1740554  1740685  1740840  1741024  1741137  1741247  1741398  1741586  1741735  1741840  1741980  1742086  1742210  1742380  1742603  1742714  1742863  1743190  1755974  1762394  1762511  1762642  1764779  1764914  1765123  1765492  1765639  1765890  1766028  1766206  1766338  1766467  1766827  1767412  1767523  1767692  1767803  1767906  1768142  1768248  1768394  1768530  1768656  1769013  1805879  1805993  1806100  1806243  1806362  1806490  1806594  1806772  1806883  1807021  1807164  1807310  1807424  1807560  1807663  1930484  1930671  1930803  1930970  1931108  1931211  1931313  1931437  1931559  1931706  1931845  2035161, 1130748  1131014  1218769  1259709  1280563  1281176  1281674  1303377  1303937  1304762  1369167  1378704  1386208  1440109  1443690  1483390  1590434  1590551  1590661  1609054  1610872  1630588  1665004  1682140  1682216  1683697  1691053  1692444  1724872  1785147  1802106  1859559  1867815  1884115  1884373  1926249  1952727  1987939, 1130982  1131732  1220146  1260180  1281135  1281297  1282260  1303793  1304599  1304799  1376294  1379772  1388377  1443620  1443713  1489293  1590495  1590615  1590973  1610199  1610997  1630739  1681532  1682172  1683634  1683757  1692415  1692869  1728369  1786109  1803083  1862384  1868216  1884321  1885389  1928105  1953368  1990743, 1116567, 1116568, 1116570, 1127970  1201112  1287495  1291485  1291700  1291778  1299534  1300303  1338867  1400071  1417342  1469657  1547824  1572823  1604930  1605808  1641010  1657745  1662304  1697641  1715399  1715561  1716244  1736051  1755641  1755937  1756606  1762101  1764609  1765043  1765182  1766938  1769175  1805596  1930091  1962877  2034775, 1129024  1202388  1289989  1291575  1291726  1292115  1299670  1300680  1339171  1407499  1420940  1471488  1549891  1575788  1605784  1605836  1655243  1657760  1662661  1700456  1715480  1716214  1716266  1743206  1755658  1756465  1756627  1762665  1764975  1765062  1766849  1769096  1769191  1807694  1931975  1963116  2035218, 2033313, 2033319, 2033327, 2033478  2033485, 2034342, 2034349, , , 0, 0, 0, 0, 0, , 2035279, 2035289, L0:R1, 100.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, R, 2034790, 2034799, 2035227
Inf, Mode 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 120, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, E, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
