Animal,Session,group,BaseStart,BaseEnd,NoSzstart2,NoSzend2,SzArtifactStart,SzArtifactEnd,SeizureStart,SeizureEnd,Bsz 
8799,13,1,-60,-54,21,120,0,1,3,19.67,2
8800,13,1,-60,-52,23,55,0,1,5.7,20.19,2
12233,13,1,-60,-4,21,120,0,1,8.4,20.07,2
12234,13,1,-60,-3,27.5,120,0,0.4,8.4,26.775,2
8793,13,2,-60,-45,30,120,0,1,4.6,29.05,1
8797,13,2,-60,-47.4,25.6,120,0,1,2.6,24.77,2
12228,13,2,-60,-3,52,120,0,1,9,50.385,1
12227,13,2,-60,-4,55,120,0,1,8,50.205,2
8790,14,1,-60,-54,26.5,120,0,1,10.3,25.585,2
8799,14,1,-60,-49,22,120,0,1,2.3,20.035,2
8800,14,1,-60,-40,20,120,0,1,4,18.295,2
12224,14,1,-60,-8,18,120,0,1,8.2,15.395,2
12233,14,1,-60,-8,23,120,0,1,8.6,21.81,2
8793,14,2,-60,-33,29,120,0,1,2.4,27.02,1
8797,14,2,-60,-34,24,120,0,1,4,23.035,2
12228,14,2,0,0,90,120,0,1,26,49,1
12226,14,2,-60,-4,24,120,0,1,4,23.175,2
8790,15,1,-60,-59,27,120,0,1,2.1,26.31,0
8799,15,1,-54,-40,19,120,0,1,2.36,18.575,0
8800,15,1,0,0,21,120,0,1,6.2,19.755,0
12224,15,1,-60,-28,17.2,120,0.4,0.7,7.1,16.765,0
12233,15,1,-60,-8,20.5,120,0.3,0.9,8.5,19.585,0
12234,15,1,-60,-3,37,120,0.75,0.85,7.65,36.425,0
8793,15,2,-60,-42,30,120,0,1,4.2,27.65,0
8797,15,2,0,0,24,120,0,1,3.4,22.965,0
12226,15,2,-60,-4,34.3,120,0,1,4,33.675,0
12227,15,2,-60,-3,49.4,120,0,1,7.6,47.5,0
8790,16,1,-60,-49,23,120,0,1,2.4,22,0
8799,16,1,0,0,30,120,0,1,2.85,27.845,0
