max_trials, mode, repeat_wrong, win_delays, lose_delays, L_win_L_delay, L_lose_L_delay, R_win_L_delay, R_lose_L_delay, R_win_R_delay, R_lose_R_delay, L_win_R_delay, L_lose_R_delay, odor1_id, odor1_delay, odor1_duration, odor2_id, odor2_delay, odor2_duration, tone_delay, tone_duration, tone_period, L_reward_id, L_reward_delay, L_reward_duration, L_reward_num, L_bolus_delay, R_reward_id, R_reward_delay, R_reward_duration, R_reward_num, R_bolus_delay, trial_delay, error_duration, odor_port_error, well_error, choice_error, odor_port_timeout, well_timeout, debounce_up, debounce_down_odor_port, debounce_down_well, rewarded_well, odor_port_timeout_stim, odor_port_on_stim, odor_port_off_stim, odor1_on_stim, odor1_off_stim, odor2_on_stim, odor2_off_stim, tone_on_stim, tone_off_stim, L_well_on_stim, L_well_off_stim, R_well_on_stim, R_well_off_stim, L_reward_on_stim, L_reward_off_stim, R_reward_on_stim, R_reward_off_stim, reward_on_stim, reward_off_stim, well_timeout_stim, odor_port_early_go_stim, well_early_go_stim, wrong_choice_stim, odor_port_timeout_stim_delay, odor_port_on_stim_delay, odor_port_off_stim_delay, odor1_on_stim_delay, odor1_off_stim_delay, odor2_on_stim_delay, odor2_off_stim_delay, tone_on_stim_delay, tone_off_stim_delay, L_well_on_stim_delay, L_well_off_stim_delay, R_well_on_stim_delay, R_well_off_stim_delay, L_reward_on_stim_delay, L_reward_off_stim_delay, R_reward_on_stim_delay, R_reward_off_stim_delay, reward_on_stim_delay, reward_off_stim_delay, well_timeout_stim_delay, odor_port_early_go_stim_delay, well_early_go_stim_delay, wrong_choice_stim_delay, L_lick_ts, R_lick_ts, L_well_all_on_ts, L_well_all_off_ts, R_well_all_on_ts, R_well_all_off_ts, trial_start_ts, R_light_on_ts, L_light_on_ts, odor_port_all_on_ts, odor_port_on_ts, tone_on_ts, tone_off_ts, odor_port_all_off_ts, odor_port_off_ts, well_id, well_on_ts, L_reward_ts, well_off_ts, error_flg, odor_port_timeout_flg, odor_port_early_go_flg, well_early_go_flg, wrong_choice_flg, R_light_off_ts, L_light_off_ts, choices, performance, L_clicks, R_clicks, R_reward_ts, error_id, error_string, house_light_on_ts
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1858970  1859089  1859234  1859346  1859472  1859576  1859704  1859815  1859921  1860031  1860151  1860258  1860387  1860550  1866585  1866690  1866886  1867604  1867710  1867862, , 1858980, 1867917, , , 1867920, 1867923, 1867926, 1878591  1879053  1884681  1884823  1885510  1888153  1889474, 1878594, 1878599, 1878750  1878754, 1878764  1884656  1884710  1885341  1887710  1889202  1889556, 1878768, , , , , 1, 1, 0, 0, 0, 1893828, 1893837, L7:R2, 55.56, 000(1)1, 000(1)1, , 204, no_go, 1893818
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 1894761  1895468  1895743  1896558  1896674  1896800  1896922  1898712  1898824  1898944  1899079  1899188  1899841  1900959  1901079  1901291, , , 1894187  1894310  1895175  1914072, 1894196  1894763  1901342, 1894184, 1894184, 1894185, 1905773  1907663  1907982  1908270  1908310  1908510  1909390  1909994  1910034, 1905777, 1905782, 1905932  1905936, 1907630  1907862  1908207  1908296  1908452  1908908  1909726  1910007  1910215, 1907634, R, 1914087, , , 1, 0, 0, 0, 1, 1914167, 1914176, L7:R3, 50.00, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, , 202, wrong_choice_chose_R, 1914155
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1926621  1927013, 1914455  1917177  1917422  1917593  1917737, 1926397  1926523  1932962, 1926447  1927207  1933100, 1914336  1916784  1916995  1917077, 1914322  1914395  1916904  1917024  1917884, 1914826, 1914827, 1914829, 1930188  1930781, 1930192, 1930198, 1930347  1930351, 1930388  1930936, 1930392, L, 1932973, 1932979, 1933106, 0, 0, 0, 0, 0, 1933143, 1933150, L7:R3, 50.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1933385  1933493  1933614  1933719  1933825  1933929  1934039  1934193  1934317  1934442  1934570  1934687  1934820  1935960  1936080  1936589  1936731  1936864  1936984  1939911  1940027  1940131  1940249  1940358  1940490  1940597  1940718  1941176  1941298  1941836  1941948  1942080  1942225  1944762  1944868  1944992  1945124  1945243  1946607  1946749  1946871  1946982  1947259  1947422  1947539  1947761  1947983  1948120  1948224  1948344  1948461  1949081  1949657  1949789  1949895  2007274  2007460  2007675  2007811, 1959600  1959748  1959964  1960105  1988914  1989083  1990538  1999307  1999432, 1933247  1946379  2007036  2007252, 1945188  1949879  2007163  2007830, 1959004  1959179  1959403  1985416  1985611  1990266  1998789  1998943  1999118  2015544, 1959095  1959327  1960072  1985556  1986420  1990285  1998827  1999073  1999559  2015706, 1945193, 1945198, 1945203, 2011412  2013266, 2011425, 2011440, 2011591  2011604, 2013199  2013526, 2013200, R, 2015546, , 2015708, 0, 0, 0, 0, 0, 2015721, 2015724, L7:R3, 50.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 2015548, , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 2016155  2016269  2016404  2016504  2017130  2017254  2017378  2017497  2017623  2017745  2017869  2018003  2018135  2018255  2018459  2018592  2019405  2019509  2019622  2019807  2020020  2020155  2020311  2020661  2020800  2020933  2021066  2021407  2025013  2025109  2025692  2025805  2025922  2026491  2026616  2026824  2027414  2027510  2027651  2027793  2028526  2028679  2028789  2029759  2029859  2030009  2030153  2030348  2030519  2031678  2031905  2032031  2032519  2033342  2033583  2033853  2034394  2034491  2049117  2049264, , , 2015765  2015887  2024719  2033166  2048728  2048925  2058613, 2015795  2021355  2032606  2034781  2048861  2049373, 2021359, 2021363, 2021368, 2056607, 2056616, 2056628, 2056779  2056790, 2056806, 2056816, R, 2058635, , , 1, 0, 0, 0, 1, 2058743, 2058756, L6:R4, 50.00, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, , 202, wrong_choice_chose_R, 2058728
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2063745, , 2063723, 2063849, 2058994, 2058934  2059232, 2059724, 2059725, 2059726, 2061983, 2061984, 2061987, 2062138  2062140, 2062148, 2062150, L, 2063728, 2063731, 2063852, 0, 0, 0, 0, 0, 2063874, 2063878, L7:R3, 60.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2064005  2064121  2064256  2064363  2064489  2064701  2064812  2064933  2065052  2065175  2065280  2065400  2065521  2065643  2065766  2065892  2071494  2071611  2071799  2071944  2072048  2072160  2072280  2075076  2075192  2075347  2075454  2121620, , 2064008  2075572  2121577, 2075490  2075654  2121717, , , 2075494, 2075498, 2075502, 2118594, 2118598, 2118604, 2118755  2118760, 2119114, 2119119, L, 2121588, 2121594, 2121723, 0, 0, 0, 0, 0, 2121764, 2121773, L7:R3, 60.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2121872  2122007  2122126  2122240  2122356  2122461  2122671  2122778  2122887  2122998  2123107  2123219  2123344  2123465  2123570  2123707  2128651  2128765  2128873  2128982  2129097  2129214  2129355  2129482  2129602  2129713  2129852  2129971  2130079  2130186  2130320  2130439  2130554  2130682  2130792  2130928  2133595  2133699  2133837  2182946  2183086  2183217  2183339  2183534, , 2121878  2133876  2182586  2182854  2183010  2183100  2183255, 2133816  2133898  2182599  2182902  2183049  2183183  2183633, 2178556  2178784  2179043  2189309, 2178676  2178947  2179266, 2133821, 2133826, 2133832, 2186753, 2186762, 2186772, 2186923  2186933, 2187368, 2187378, R, 2189330, , , 1, 0, 0, 0, 1, 2189433, 2189446, L6:R4, 50.00, 000(1)1, <html><body bgcolor="rgb(230;180;180)" width="1000">000(1)1</body></html>, , 202, wrong_choice_chose_R, 2189419
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, L, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , , 2196445, 2196574, 2189657  2192078  2192427, 2189615  2190032  2192237  2192532, 2190375, 2190376, 2190379, 2193567, 2193569, 2193572, 2193723  2193725, 2194769, 2194772, L, 2196451, 2196455, 2196577, 0, 0, 0, 0, 0, 2196601, 2196606, L6:R4, 60.00, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 000(1)1, , , , 
Inf, Mode 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150, 160, 1, 0, 110, 1, 0, 1, 0, 150, 1, 0, 1, 1, 0, 0, 1, -1, 15000, 5, 5, 5, R, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, N, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2196699  2196818  2196987  2197098  2197203  2197315  2197424  2197532  2197646  2197750  2197864  2197970  2198094  2198231  2202437  2202544  2202661  2202789  2202894  2203013  2203123  2205345  2205462, 2209736  2209915  2210030  2210661  2210784  2211031  2211161  2211284  2211406  2211530  2211659  2211800  2211940  2212089  2212282  2212388  2212506  2212896  2213027  2213152  2213280  2214641  2214737  2215549  2215677  2215834  2215942  2216239  2216335  2216475  2216604  2217247  2217352  2217499  2217666  2218192  2218315  2218463  2218615, 2196708, 2205577, 2209434, 2218657, 2205580, 2205584, 2205588, 2207344, 2207348, 2207353, 2207504  2207508, 2208034, 2208039, R, 2209443, , 2218668, 0, 0, 0, 0, 0, 2218730, 2218741, L5:R5, 70.00, 000(1)1, <html><body bgcolor="rgb(255;255;115)" width="1000">000(1)1</body></html>, 2209449, , , 
